disease_id	disease_name	source_id	maxo_id	maxo_name	hpo_id	relation	evidence	extension_id	extension_name	comment	other	author	last_updated	created
MONDO:0018150	Gaucher disease	PMID:37432414	MAXO:0000933	enzyme replacement or supplementation therapy	HP:0000118	treats	PCS					0000-0002-0736-9199		2025-05-09
MONDO:0018150	Gaucher disease	PMID:34957594	MAXO:0000933	enzyme replacement or supplementation therapy	HP:0000118	prevents	PCS					0000-0002-0736-9199		2025-05-09
MONDO:0018150	Gaucher disease	PMID:34229967	MAXO:0000933	enzyme replacement or supplementation therapy	HP:0002716	treats	PCS					0000-0002-0736-9199		2025-05-09
MONDO:0018150	Gaucher disease	PMID:35140000	MAXO:0000933	enzyme replacement or supplementation therapy	HP:0000118	treats	PCS					0000-0002-0736-9199		2025-05-09
MONDO:0009266	Gaucher disease type II	PMID:39681851	MAXO:0000933	enzyme replacement or supplementation therapy	HP:0000118	treats	PCS					0000-0002-0736-9199		2025-05-09
MONDO:0018150	Gaucher disease	PMID:35717194	MAXO:0000747	hematopoietic stem cell transplantation	HP:0000118	unknown	PCS					0000-0002-0736-9199		2025-05-09
MONDO:0018150	Gaucher disease	PMID:36327675	MAXO:0000933	enzyme replacement or supplementation therapy	HP:0002653	prevents	PCS					0000-0002-0736-9199		2025-05-09
MONDO:0018150	Gaucher disease	PMID:35569551	MAXO:0000933	enzyme replacement or supplementation therapy	HP:0000118	treats	PCS					0000-0002-0736-9199		2025-05-09
MONDO:0018150	Gaucher disease	PMID:35611840	MAXO:0000933	enzyme replacement or supplementation therapy	HP:0000118	unknown	PCS					0000-0002-0736-9199		2025-05-09
MONDO:0018150	Gaucher disease	PMID:35538014	MAXO:0000933	enzyme replacement or supplementation therapy	HP:0006775	treats	PCS					0000-0002-0736-9199		2025-05-09
MONDO:0009266	Gaucher disease type II	PMID:40155993	MAXO:0000933	enzyme replacement or supplementation therapy	HP:0000118	treats	PCS					0000-0002-0736-9199		2025-05-09
MONDO:0018150	Gaucher disease	PMID:36835039	MAXO:0001001	gene therapy	HP:0000118	treats	PCS					0000-0002-0736-9199		2025-05-09
MONDO:0018150	Gaucher disease	PMID:37047707	MAXO:0000058	pharmacotherapy	HP:0000118	treats	PCS	CHEBI:135590	ambroxol			0000-0002-0736-9199		2025-05-09
MONDO:0018150	Gaucher disease	PMID:35412052	MAXO:0000058	pharmacotherapy	HP:0000118	treats	PCS	CHEBI:82752	eliglustat			0000-0002-0736-9199		2025-05-09
MONDO:0018150	Gaucher disease	PMID:36469032	MAXO:0000058	pharmacotherapy	HP:0000118	treats	PCS	CHEBI:82752	eliglustat			0000-0002-0736-9199		2025-05-09
