Citation	Subject	Subject Label	Non grounded Subject	Potential MAXO	Predicate	Object	Object Label	Non grounded Object	Potential HP	Qualifier	Qualifier Label	Non grounded Qualifier	Potential MONDO	Subject Qualifier	Subject Extension	Object Extension	Count
35907855			multidisciplinary monitoring	[]	treats			intrauterine and postnatal growth retardation	[('HP:0001510', 'Growth retardation'), ('HP:0008897', 'Postnatal growth retardation')]	mondo:0007688	myhre syndrome		[]				1
35907855			multidisciplinary monitoring	[]	treats			neurodevelopment disorders	[]	mondo:0007688	myhre syndrome		[]				1
35907855			multidisciplinary monitoring	[]	treats			specific facial and skeletal features	[]	mondo:0007688	myhre syndrome		[]				1
35907855			multidisciplinary monitoring	[]	treats	hp:0001072	thickened skin		[]	mondo:0007688	myhre syndrome		[]				1
35907855			multidisciplinary monitoring	[]	treats			joint limitation	[]	mondo:0007688	myhre syndrome		[]				1
35907855			multidisciplinary monitoring	[]	treats	hp:0002092	pulmonary arterial hypertension		[]	mondo:0007688	myhre syndrome		[]				1
35907855			multidisciplinary monitoring	[]	treats			vascular stenosis	[]			myhre syndrome	[('MONDO:0002254', 'Myhre syndrome'), ('MONDO:0007688', 'Myhre syndrome')]				1
35907855			multidisciplinary monitoring	[]	treats			recurrent strokes	[('HP:0001297', 'Stroke'), ('HP:0001297', 'Stroke')]	mondo:0007688	myhre syndrome		[]				1
35907855			multidisciplinary monitoring	[]	treats			moyamoya syndrome	[]	mondo:0007688	myhre syndrome		[]				1
35907855			multidisciplinary monitoring	[]	treats			mesenteric ischemia	[]	mondo:0007688	myhre syndrome		[]				1
37529930			prenatal testing	[]	treats			thick nuchal translucency	[]			myhre syndrome	[('MONDO:0002254', 'Myhre syndrome'), ('MONDO:0007688', 'Myhre syndrome')]				1
37529930			non-invasive prenatal testing	[]	prevents			diagnostic delay	[]	mondo:0007688	myhre syndrome		[]				1
37529930			snp array study on amniotic fluid samples	[]	prevents			diagnostic delay	[]			myhre syndrome	[('MONDO:0002254', 'Myhre syndrome'), ('MONDO:0007688', 'Myhre syndrome')]		snp array study		1
37529930	maxo:0009004	whole exome sequencing		[]	treats			diagnostic challenges	[]	mondo:0007688	myhre syndrome		[]				1
37529930			detailed fetal echocardiogram	[]	treats	hp:0001627	cardiac abnormalities		[]	mondo:0007688	myhre syndrome		[]				1
37529930			termination of pregnancy	[]	treats			potential life-threatening manifestations	[]	mondo:0007688	myhre syndrome		[]				1
