Citation	Subject	Subject Label	Non grounded Subject	Potential MAXO	Predicate	Object	Object Label	Non grounded Object	Potential HP	Qualifier	Qualifier Label	Non grounded Qualifier	Potential MONDO	Subject Qualifier	Subject Extension	Object Extension	Count
36538874	maxo:0009004	exome sequencing		[]	treats			chronic swelling in body parts	[('HP:0011010', 'Chronic'), ('HP:0011010', 'Chronic')]			hereditary lymphedema type 1	[('MONDO:0017319', 'hereditary lymphedema'), ('MONDO:0019297', 'lymphedema')]				1
36538874			prenatal ultrasonography	[]	treats			hydrops fetalis	[('HP:0000969', 'Hydrops fetalis'), ('HP:0001789', 'Hydrops')]			hereditary lymphedema type 1	[('MONDO:0017319', 'hereditary lymphedema'), ('MONDO:0019297', 'lymphedema')]		prenatal ultrasonography		1
36538874			comparative genomic hybridization array	[]	treats	hp:0001789	hydrops fetalis		[]			hereditary lymphedema type 1	[('MONDO:0017319', 'hereditary lymphedema'), ('MONDO:0019297', 'lymphedema')]				1
36538874	maxo:0000079	genetic counseling		[]	treats			chronic swelling in body parts	[('HP:0011010', 'Chronic'), ('HP:0011010', 'Chronic')]			hereditary lymphedema type 1	[('MONDO:0017319', 'hereditary lymphedema'), ('MONDO:0019297', 'lymphedema')]				1
19620038			treatment with topical steroids	[]	treats			worsening of congenital primary lymphedema of the lower limb	[('HP:0001004', 'Lymphedema')]			purpura-associated congenital lymphedema	[('MONDO:0002610', 'purpura'), ('MONDO:0002610', 'purpura')]		topical steroids		1
19620038			treatment with topical steroids	[]	treats			appearance of several purpuric lesions on the right thigh and knee	[('HP:0012834', 'Right')]			purpura-associated congenital lymphedema	[('MONDO:0002610', 'purpura'), ('MONDO:0002610', 'purpura')]		topical steroids		1
19620038			use of compression stockings	[]	prevents			worsening of congenital primary lymphedema of the lower limb	[('HP:0001004', 'Lymphedema')]			purpura-associated congenital lymphedema	[('MONDO:0002610', 'purpura'), ('MONDO:0002610', 'purpura')]		compression stockings		1
19620038			surgical intervention of phlebectomy	[('MAXO:0000004', 'surgical intervention')]	treats			insufficiency of anterior saphena	[]			purpura-associated congenital lymphedema	[('MONDO:0002610', 'purpura'), ('MONDO:0002610', 'purpura')]				1
6983249			use of isosulfan blue for identification of lymphatic vessels	[]	treats			inability to identify lymphatic vessels	[]			lymphatic vascular disease	[('MONDO:0000001', 'disease'), ('MONDO:0000001', 'disease')]		isosulfan blue		1
6983249			administration of a 1% sterile, pyrogen-free solution	[]	treats			inability to identify lymphatic vessels	[]			lymphatic vascular disease	[('MONDO:0000001', 'disease'), ('MONDO:0000001', 'disease')]	with isosulfan blue	isosulfan blue		1
15689446	maxo:0000526	clinical examination		[]	treats	hp:0000969	oedema		[]	mondo:0007919	milroy disease		[]				1
15689446			rigorous phenotyping	[]	treats	hp:0000969	oedema		[]	mondo:0007919	milroy disease		[]				1
15689446	maxo:0000526	clinical examination		[]	treats	hp:0100658	cellulitis		[]	mondo:0007919	milroy disease		[]				1
15689446	maxo:0000526	clinical examination		[]	treats			large calibre leg veins	[]	mondo:0007919	milroy disease		[]				1
15689446	maxo:0000526	clinical examination		[]	treats			papillomatosis	[('HP:0012740', 'Papilloma')]	mondo:0007919	milroy disease		[]				1
15689446	maxo:0000526	clinical examination		[]	treats	hp:0032344	upslanting toenails		[]	mondo:0007919	milroy disease		[]				1
15689446	maxo:0000526	clinical examination		[]	treats			hydrocoele	[]	mondo:0007919	milroy disease		[]				1
17853615			visualization of the superficial skin network with fluorescence microlymphography (fml)	[]	prevents			misdiagnosis	[('HP:0001658', 'MI')]			lymphedema	[('MONDO:0019297', 'lymphedema')]		fluorescence microlymphography		1
17853615			subepidermal injection	[]	treats			lack of visualization	[]	mondo:0019297	lymphedema		[]		fitc-dextran		1
17853615			local application of prostaglandins	[]	treats			lymphatic hypertension	[('HP:0000822', 'Hypertension')]	mondo:0019297	lymphedema		[]	with prostaglandins	chebi:26333		1
17853615			complex physiotherapy	[('MAXO:0000011', 'physiotherapy')]	treats			lymphatic hypertension	[('HP:0000822', 'Hypertension')]	mondo:0019297	lymphedema		[]				1
17853615			measurement of microlymphatic pressure using glass micropipettes and the servo-nulling technique	[]	determines			lymphatic hypertension	[('HP:0000822', 'Hypertension')]	mondo:0019297	lymphedema		[]				1
17853615			measurement of lymphatic capillary flow velocity	[]	identifies			flow abnormalities	[]	mondo:0019297	lymphedema		[]				1
20447153			development of a new clinical classification system	[]	prevents	hp:0001289	confusion		[]			primary lymphoedema	[('MONDO:0019297', 'lymphoedema')]				1
20447153			molecular investigations	[]	treats	hp:0003812	variable phenotypes		[]			primary lymphoedema	[('MONDO:0019297', 'lymphoedema')]				1
20447153			understanding of inheritance patterns	[]	treats			associated anomalies	[]			primary lymphoedema	[('MONDO:0019297', 'lymphoedema')]				1
26312726			radical surgery	[('MAXO:0000004', 'surgery')]	treats			chronic lymphedema	[('HP:0001004', 'Lymphedema'), ('HP:0011010', 'Chronic')]	mondo:0006282	stewart-treves syndrome		[]				1
26312726			radical surgery	[('MAXO:0000004', 'surgery')]	treats			repeated erysipela episodes	[]	mondo:0006282	stewart-treves syndrome		[]				1
31165487			vascularized lymph node transfer (vlnt)	[]	treats			hereditary bilateral legs swelling	[('HP:0012832', 'Bilateral')]	mondo:0007919	milroy disease		[]				1
31165487			extensive therapeutic lipectomy	[]	treats			hereditary bilateral legs swelling	[('HP:0012832', 'Bilateral')]	mondo:0007919	milroy disease		[]				1
12224079			ultrasonographic examination	[]	treats			significant edema of the dorsal aspects of both feet	[('HP:0000969', 'Edema'), ('HP:0500001', 'BO')]			milroy's primary congenital lymphedema	[('MONDO:0019297', 'primary congenital lymphedema'), ('MONDO:0005068', 'lymphedema')]				1
12224079			ultrasonographic examination	[]	prevents			misdiagnosis	[('HP:0001658', 'MI')]			milroy's primary congenital lymphedema	[('MONDO:0019297', 'primary congenital lymphedema'), ('MONDO:0005068', 'lymphedema')]				1
26275891	maxo:0009004	exome sequencing		[]	treats	hp:0010880	increased nuchal translucency		[]			sonographic abnormalities	[]				1
