PMID	Title	Abstract
35030269	Transcranial direct current stimulation in patient with J wave syndrome and implantable cardioverter defibrillator.	J wave syndrome is a spectrum of proarrhythmic disorders including Brugada syndrome and early repolarization syndrome (ERS), that are prone to ventricular fibrillation and sudden cardiac death (SCD). In this case report we present a patient with ERS and aborted SCD complicated with cognitive impairment. We also investigated whether performing transcranial direct current stimulation to target his cognitive impairment, interfered with the function of his implantable cardioverter defibrillator.
36689292	A Transient Inferolateral ST-Segment Elevation on the Electrocardiogram Due to an Iatrogenic Left-Sided Pneumothorax After an Urgent Tracheostomy in a Patient with Metastatic Hypopharynx Cancer.	The presence of ST-segment elevation on the electrocardiogram alerts physicians in patients with chest pain. Emergency coronary angiography is usually performed in these patients. However, there are many conditions that cause ST-segment elevation on the electrocardiogram, such as pericarditis, hyperkalemia, Brugada syndrome, hypothermia, and early repolarization. Pneumothorax is a rare complication of tracheostomy and its symptoms are sudden chest pain and dyspnea. Also, it has been known that pneumothorax may cause ST-segment changes on the electrocardiogram. We presented a transient inferolateral ST-segment elevation on the electrocardiogram due to an iatrogenic left-sided pneumothorax after an urgent tracheostomy in a patient with metastatic hypopharynx cancer and normal coronary angiogram.
36325610	COVID-19 Vaccination-Induced Ventricular Fibrillation in an Afebrile Patient With Brugada Syndrome.	A 43-year-old man presented with cardiac arrest 2 days after the second coronavirus disease 2019 (COVID-19) vaccination with an mRNA vaccine. Electrocardiograms showed ventricular fibrillation and type 1 Brugada pattern ST segment elevation. The patient reported having no symptoms, including febrile sensation. There were no known underlying cardiac diseases to explain such electrocardiographic abnormalities. ST segment elevation completely disappeared in two weeks. Although there were no genetic mutations or personal or family history typical of Brugada syndrome, flecainide administration induced type 1 Brugada pattern ST segment elevation. This case suggests that COVID-19 vaccination may induce cardiac ion channel dysfunction and cause life threatening ventricular arrhythmias in specific patients with Brugada syndrome.
36141934	Subcutaneous Implantable Cardioverter Defibrillators for the Prevention of Sudden Cardiac Death: Pediatric Single-Center Experience.	BACKGROUND: The subcutaneous implantable cardioverter defibrillator (S-ICD) was developed as an alternative to the transvenous ICD, to prevent lead-related complications associated with the latter. The absence of intravascular or intracardiac components offers potential advantages to pediatric patients. AIMS: The aim of the study is to present an overview of our experience with S-ICDs in the pediatric center that, currently, has performed the largest number of implantations in children in Poland. METHODS: Retrospective analysis of data from medical history, qualification, implantation procedure, and S-ICD post-implantation observations in 11 pediatric patients were performed. RESULTS: S-ICDs were implanted in 11 patients, 8 boys and 3 girls, aged 12-17 years. The S-ICD was implanted for primary prevention in seven patients: four with hypertrophic cardiomyopathy (HCM), two with dilated cardiomyopathy (DCM), and one with arrhythmogenic right ventricular cardiomyopathy (ARVC). It was implanted for secondary prevention in four patients: two with sudden cardiac arrest (SCA) in the course of idiopathic ventricular fibrillation (IVF), one with long QT syndrome (LQTS) after probable SCA, and one with Brugada syndrome after SCA. In all patients, the device was implanted intramuscularly. One patient did not have a defibrillation test performed due to the presence of an intracardiac thrombus. In one patient, during screening, it was decided to implant an electrode on the right side of the sternum. There were no early or late complications with any of the procedures. So far, no inadequate discharges have been observed. CONCLUSIONS: Our results prove the efficacy of the S-ICD treatment option along with technically simple surgery, which supports its further and more widespread application in children.
37495059	Precision Medicine and Cardiac Channelopathies:Human iPSCs take the lead.	Sudden cardiac death (SCD) is one of the leading causes of death worldwide, usually involving young people. SCD remains a critical public health problem accounting for 185,000 - 450,000 deaths annually, representing around 7% to 18% of all deaths globally. As per evidence, ~2-54% of sudden unexpected deaths in people under the age of 35 years fail to show evidence of structural cardiac abnormalities at autopsy, making ion channelopathies the probable causes in such cases. The most generally recognized cardiac ion channelopathies with genetic testing are long QT syndrome (LQTS), Brugada syndrome (BrS), short QT syndrome (SQTS), and catecholaminergic polymorphic ventricular tachycardia (CPVT). The substantial progress in understanding the genetics of ion channelopathies in the last two decades has obliged the early diagnosis and prevention of SCD to a certain extent. In this review, we examine some of the critical challenges and recent advancements in the identification, risk stratification, and clinical management of potentially fatal cardiac ion channel disorders. We highlight the application of precision medicine (PM) and artificial intelligence (AI) for comprehending the underlying genetic mechanisms, especially the role of human induced pluripotent stem cell (iPSC) based platforms to solve major intractable clinical problems associated with channelopathies.
37337665	Appropriate and inappropriate therapies in remotely monitored patients with Brugada syndrome. What to expect?	
37558298	Novelties in Brugada Syndrome: Complex Genetics, Risk Stratification, and Catheter Ablation.	Brugada syndrome (BrS) is an inherited arrhythmia syndrome with distinctive electrocardiographic abnormalities in the right precordial leads and predisposes to ventricular arrhythmias and sudden cardiac death in otherwise healthy patients. Its complex genetic architecture and pathophysiological mechanism are not yet completely understood, and risk stratification remains challenging, particularly in patients at intermediate risk of arrhythmic events. Further understanding of its complex genetic architecture may help improving future risk stratification, and advances in management may contribute to alternatives to implantable cardioverter-defibrillators. Here, the authors review the latest insights and developments in BrS.
34615807	Fever-Related Ventricular Fibrillation - Potential Adverse Effect of SARS-CoV-2 Vaccination in Patients With Brugada Syndrome.	
34444641	Impact of Dietary Factors on Brugada Syndrome and Long QT Syndrome.	A healthy regime is fundamental for the prevention of cardiovascular diseases (CVD). In inherited channelopathies, such as Brugada syndrome (BrS) and Long QT syndrome (LQTS), unfortunately, sudden cardiac death could be the first sign for patients affected by these syndromes. Several known factors are used to stratify the risk of developing cardiac arrhythmias, although none are determinative. The risk factors can be affected by adjusting lifestyle habits, such as a particular diet, impacting the risk of arrhythmogenic events and mortality. To date, the importance of understanding the relationship between diet and inherited channelopathies has been underrated. Therefore, we describe herein the effects of dietary factors on the development of arrhythmia in patients affected by BrS and LQTS. Modifying the diet might not be enough to fully prevent arrhythmias, but it can help lower the risk.
35686416	Posterior Fascicular Ventricular Tachycardia: A Rare Cause of Tachycardia.	A 13-year male patient with a history of tachycardia attacks was diagnosed to have left posterior fascicular ventricular tachycardia (VT) according to the electrocardiogram (ECG) obtained at the emergency service. This diagnosis was confirmed with advanced electrophysiological studies and the case was diagnosed by genetic evaluation, which was performed to reveal the underlying cause, to have Brugada type 2 syndrome that might be associated with sudden cardiac death. Underlying causes should be evaluated, although idiopathic VTs generally have a good prognosis. Key Words: Brugada syndrome, Posterior fascicular ventricular tachycardia, Right bundle branch block.
