Citation	Subject	Subject Label	Predicate	Object	Object Label	Qualifier	Subject Qualifier	Subject Extension	Object Extension	Count
38000628	MAXO:0001001	Gene therapies	TREATS	sickle cell disease						5
38066905	MAXO:0001001	Gene therapies	TREATS	sickle cell disease						5
37973947	MAXO:0001001	Gene therapies	TREATS	sickle cell disease						5
37858508	MAXO:0001001	Gene therapies	TREATS	sickle cell disease						5
38247082	MAXO:0001001	Gene therapies	TREATS	sickle cell disease						5
38082534	MAXO:0000747	Hematopoietic stem cell transplantation	TREATS	sickle cell disease						2
37795523	MAXO:0000747	Hematopoietic stem cell transplantation	TREATS	sickle cell disease						2
37715793	Tissue Doppler echocardiography		DETECTS	Subclinical cardiac changes		MONDO:0011382				2
38048579	MAXO:0001001	Gene therapies	TREATS	Sickle Cell Disease						2
38289232	MAXO:0001001	Gene therapies	TREATS	Sickle Cell Disease						2
37982216	Clinical evaluation		TREATS	Silent cerebral infarcts		Sickle Cell Disease				1
37982216	Review of patient records		TREATS	Silent cerebral infarcts		MONDO:0011382				1
37982216	MAXO:0001006	Full blood count	TREATS	Silent cerebral infarcts		MONDO:0011382				1
37982216	MAXO:0000825	Reticulocyte count	TREATS	Silent cerebral infarcts		MONDO:0011382				1
37982216	Hemoglobin F estimation		TREATS	Silent cerebral infarcts		Sickle Cell Disease		Hemoglobin F		1
37982216	Serum lactic dehydrogenase assay		TREATS	Silent cerebral infarcts		Sickle Cell Disease		Serum lactic dehydrogenase assay		1
37982216	Serum bilirubin assay		TREATS	Silent cerebral infarcts		MONDO:0011382				1
37982216	MAXO:0000427	Brain magnetic resonance imaging (MRI)	TREATS	Silent cerebral infarcts		MONDO:0011382				1
38308541	Improved antenatal surveillance		PREVENTS	adverse pregnancy outcomes		MONDO:0011382				1
38308541	Management		PREVENTS	adverse pregnancy outcomes		MONDO:0011382				1
38308541	Improved antenatal surveillance		PREVENTS	severe anemia		MONDO:0011382				1
38308541	Management		PREVENTS	severe anemia		MONDO:0011382				1
38308541	Improved antenatal surveillance		PREVENTS	intrauterine growth retardation		Sickle cell disease		antenatal surveillance		1
38308541	Management		PREVENTS	HP:0001511	Intrauterine growth restriction	MONDO:0011382				1
38308541	Improved antenatal surveillance		PREVENTS	admission to the neonatal intensive care unit		Sickle cell disease	Improved	antenatal surveillance		1
38308541	Management		PREVENTS	admission to the neonatal intensive care unit		MONDO:0011382				1
38308541	antenatal surveillance		PREVENTS	HP:0001518	Low birth weight	MONDO:0011382	Improved	antenatal surveillance		1
38308541	Management		PREVENTS	HP:0001518	Low birth weight	MONDO:0011382				1
38308541	antenatal surveillance		PREVENTS	HP:0001622	Preterm delivery	MONDO:0011382	Improved	antenatal surveillance		1
38308541	Management		PREVENTS	HP:0001622	Preterm delivery	MONDO:0011382				1
37742907	Transitioning to buprenorphine		TREATS	HP:0012532	Chronic pain	MONDO:0011382		CHEBI:3216		1
37742907	Treatment of chronic pain		TREATS	HP:0012532	Chronic pain	MONDO:0011382	with Buprenorphine	CHEBI:3216		1
37939905	prescription of treatment		TREATS	opioid use disorder			SL	buprenorphine-naloxone		1
37939905	evaluation		IN	outcomes		opioid use disorder		opioid use disorder treatment		1
37939905	comparison of retention in treatment		IN	opioid use disorder						1
37939905	adherence to treatment program		IN	opioid use disorder				opioid		1
37939905	hospital encounters		IN	opioid use disorder			comparison of	opioid		1
38302121	prophylaxis		PREVENTS	infections		MONDO:0011382		CHEBI:17334		1
38302121	MAXO:0001298	therapy	TREATS	HP:0001903	anemia	MONDO:0011382		CHEBI:44423		1
38206762	multidisciplinary antenatal follow-up		TREATS	complications in pregnancy		MONDO:0007374	at least monthly	multidisciplinary antenatal follow-up		1
38206762	administering prophylactic aspirin		PREVENTS	HP:0100602	Preeclampsia	MONDO:0007374	with aspirin	CHEBI:15365		1
38206762	transfusion therapy		TREATS	complications in pregnancy		MONDO:0007374	prophylactic	prophylactic transfusion therapy		1
38206762	automated red blood cell exchange		TREATS	iron overload		MONDO:0007374				1
38206762	automated red blood cell exchange		TREATS	severe acute chest syndrome		MONDO:0007374				1
38246310	in vitro assessment		TREATS	cell deformation		MONDO:0007374		quantitative phase imaging (QPI) and machine learning		1
38246310	in vitro assessment		TREATS	classification of red blood cells (RBCs)		MONDO:0007374		Quantitative phase imaging (QPI) and machine learning	sickle-shaped	1
38246310	in vitro assessment using quantitative phase imaging (QPI) and machine learning		TREATS	reduced membrane flexibility		MONDO:0007374				1
38246310	treatment		TREATS	cell deformation		MONDO:0007374	with sodium metabisulfite	CHEBI:114786		1
38246310	treatment		TREATS	sickle-shaped classification of red blood cells (RBCs)		MONDO:0007374	with sodium metabisulfite	CHEBI:114786		1
38246310	treatment		TREATS	reduced membrane flexibility		MONDO:0007374	with sodium metabisulfite	CHEBI:114786		1
37917573	Systemic antibiotics treatment		TREATS	painless left orbital swelling		Sickle Cell Orbitopathy		CHEBI:33281		1
37917573	Supportive treatment for vaso-occlusive crisis		TREATS	bilateral lower limb pain		Sickle Cell Orbitopathy				1
37743224	MAXO:0000756	Transfusion	PREVENTS	alloimmunization		MONDO:0007374	prophylactic	red blood cell (RBC)	extended antigen matching	1
37743224	Molecular typing		PREVENTS	Alloimmunization		MONDO:0007374				1
37743224	phenotyping		PREVENTS	alloimmunization		MONDO:0007374				1
37743224	molecular genotyping		PREVENTS	alloimmunization		MONDO:0007374		RH variant alleles		1
37883315	red blood cell exchange transfusions		TREATS	sickle cell disease						1
37883315	use of longer-length peripheral intravenous catheter		PREVENTS	increased pain on insertion		sickle cell disease		longer-length peripheral intravenous catheter		1
37883315	use of longer-length peripheral intravenous catheter		PREVENTS	difficult vascular access		sickle cell disease		longer-length peripheral intravenous catheter		1
37883315	use of longer-length peripheral intravenous catheter		PREVENTS	anxiety		sickle cell disease		longer-length peripheral intravenous catheter		1
37939876	Transcranial Doppler		PREVENTS	overt stroke		MONDO:0011382				1
37939876	Magnetic Resonance Imaging/Angiography		PREVENTS	silent cerebral infarcts		MONDO:0011382				1
37939876	neurocognitive test		PREVENTS	neurocognitive disorders		MONDO:0011382				1
37939876	chronic transfusion regimen		PREVENTS	overt stroke		MONDO:0011382				1
37939876	chronic transfusion regimen		PREVENTS	silent cerebral infarcts		Sickle Cell Disease		chronic transfusion regimen		1
37939876	hematopoietic stem cell transplantation		PREVENTS	overt stroke		Sickle Cell Disease				1
37939876	neurocognitive rehabilitation		TREATS	neurocognitive disorders		MONDO:0011382				1
37939876	neurocognitive rehabilitation		TREATS	cognitive dysfunction		Sickle Cell Disease		neurocognitive rehabilitation	cognitive dysfunction	1
38331925	MAXO:0001298	therapy	TREATS	transcranial doppler velocity		MONDO:0011382		CHEBI:44423		1
38331925	MAXO:0001298	therapy	TREATS	tricuspid regurgitant velocity		MONDO:0011382		CHEBI:44423		1
38331925	hydroxyurea therapy		TREATS	HP:0012592	albuminuria	MONDO:0011382	with hydroxyurea	CHEBI:44423		1
38331925	MAXO:0001298	therapy	TREATS	splenic abnormality		MONDO:0011382		CHEBI:44423		1
