Citation	Subject	Subject Label	Non grounded Subject	Potential MAXO	Predicate	Object	Object Label	Non grounded Object	Potential HP	Qualifier	Qualifier Label	Non grounded Qualifier	Potential MONDO	Subject Qualifier	Subject Extension	Object Extension	Count
37973947	maxo:0001001	gene therapies		[]	treats			sickle cell disease	[]				[]				8
38066905	maxo:0001001	gene therapies		[]	treats			sickle cell disease	[]				[]				8
37858508	maxo:0001001	gene therapies		[]	treats			sickle cell disease	[]				[]				8
37889869	maxo:0001001	gene therapies		[]	treats			sickle cell disease	[]				[]				8
38289232	maxo:0001001	gene therapies		[]	treats			sickle cell disease	[]				[]				8
38048579	maxo:0001001	gene therapies		[]	treats			sickle cell disease	[]				[]				8
38247082	maxo:0001001	gene therapies		[]	treats			sickle cell disease	[]				[]				8
38000628	maxo:0001001	gene therapies		[]	treats			sickle cell disease	[]				[]				8
37795523	maxo:0000747	hematopoietic stem cell transplantation		[]	treats			sickle cell disease	[]				[]				2
38082534	maxo:0000747	hematopoietic stem cell transplantation		[]	treats			sickle cell disease	[]				[]				2
37715793			tissue doppler echocardiography	[('MAXO:0010203', 'echocardiography')]	detects			subclinical cardiac changes	[]	mondo:0011382	sickle cell disease		[]				2
38289232			gene editing	[]	treats			sickle cell disease	[]				[]				2
38066905			gene editing	[]	treats			sickle cell disease	[]				[]				2
37982216			clinical evaluation	[]	treats			silent cerebral infarcts	[('HP:0025722', 'Cerebral infarct')]			sickle cell disease	[('MONDO:0000001', 'sickle cell disease'), ('MONDO:0000001', 'disease')]				1
37982216			review of patient records	[]	treats			silent cerebral infarcts	[('HP:0025722', 'Cerebral infarct')]	mondo:0011382	sickle cell disease		[]				1
37982216	maxo:0001006	full blood count		[]	treats			silent cerebral infarcts	[('HP:0025722', 'Cerebral infarct')]	mondo:0011382	sickle cell disease		[]				1
37982216	maxo:0000825	reticulocyte count		[]	treats			silent cerebral infarcts	[('HP:0025722', 'Cerebral infarct')]	mondo:0011382	sickle cell disease		[]				1
37982216			hemoglobin f estimation	[]	treats			silent cerebral infarcts	[('HP:0025722', 'Cerebral infarct')]			sickle cell disease	[('MONDO:0000001', 'sickle cell disease'), ('MONDO:0000001', 'disease')]		hemoglobin f		1
37982216			serum lactic dehydrogenase assay	[]	treats			silent cerebral infarcts	[('HP:0025722', 'Cerebral infarct')]			sickle cell disease	[('MONDO:0000001', 'sickle cell disease'), ('MONDO:0000001', 'disease')]		serum lactic dehydrogenase assay		1
37982216			serum bilirubin assay	[]	treats			silent cerebral infarcts	[('HP:0025722', 'Cerebral infarct')]	mondo:0011382	sickle cell disease		[]				1
37982216	maxo:0000427	brain magnetic resonance imaging (mri)		[]	treats			silent cerebral infarcts	[('HP:0025722', 'Cerebral infarct')]	mondo:0011382	sickle cell disease		[]				1
38308541			improved antenatal surveillance	[]	prevents			adverse pregnancy outcomes	[]	mondo:0011382	sickle cell disease		[]				1
38308541			management	[]	prevents			adverse pregnancy outcomes	[]	mondo:0011382	sickle cell disease		[]				1
38308541			improved antenatal surveillance	[]	prevents			severe anemia	[('HP:0001903', 'Anemia'), ('HP:0012828', 'Severe')]	mondo:0011382	sickle cell disease		[]				1
38308541			management	[]	prevents			severe anemia	[('HP:0001903', 'Anemia'), ('HP:0012828', 'Severe')]	mondo:0011382	sickle cell disease		[]				1
38308541			improved antenatal surveillance	[]	prevents			intrauterine growth retardation	[('HP:0001510', 'Intrauterine growth retardation'), ('HP:0001511', 'Growth retardation')]			sickle cell disease	[('MONDO:0000001', 'sickle cell disease'), ('MONDO:0000001', 'disease')]		antenatal surveillance		1
38308541			management	[]	prevents	hp:0001511	intrauterine growth restriction		[]	mondo:0011382	sickle cell disease		[]				1
38308541			improved antenatal surveillance	[]	prevents			admission to the neonatal intensive care unit	[]			sickle cell disease	[('MONDO:0000001', 'sickle cell disease'), ('MONDO:0000001', 'disease')]	improved	antenatal surveillance		1
38308541			management	[]	prevents			admission to the neonatal intensive care unit	[]	mondo:0011382	sickle cell disease		[]				1
38308541			antenatal surveillance	[]	prevents	hp:0001518	low birth weight		[]	mondo:0011382	sickle cell disease		[]	improved	antenatal surveillance		1
38308541			management	[]	prevents	hp:0001518	low birth weight		[]	mondo:0011382	sickle cell disease		[]				1
38308541			antenatal surveillance	[]	prevents	hp:0001622	preterm delivery		[]	mondo:0011382	sickle cell disease		[]	improved	antenatal surveillance		1
38308541			management	[]	prevents	hp:0001622	preterm delivery		[]	mondo:0011382	sickle cell disease		[]				1
37742907			transitioning to buprenorphine	[]	treats	hp:0012532	chronic pain		[]	mondo:0011382	sickle cell disease		[]		chebi:3216		1
37742907			treatment of chronic pain	[]	treats	hp:0012532	chronic pain		[]	mondo:0011382	sickle cell disease		[]	with buprenorphine	chebi:3216		1
37939905			prescription of treatment	[]	treats			opioid use disorder	[]				[]	sl	buprenorphine-naloxone		1
37939905			evaluation	[]	in			outcomes	[]			opioid use disorder	[('MONDO:0000001', 'disorder'), ('MONDO:0012621', 'dis')]		opioid use disorder treatment		1
37939905			comparison of retention in treatment	[]	in			opioid use disorder	[]				[]				1
37939905			adherence to treatment program	[]	in			opioid use disorder	[]				[]		opioid		1
37939905			hospital encounters	[]	in			opioid use disorder	[]				[]	comparison of	opioid		1
37671902			use of incentive spirometry	[]	prevents			frequent cause of hospitalization	[('HP:0040282', 'Frequent')]	mondo:0006079	acute chest syndrome (acs) in children with sickle cell disease (scd)		[]		incentive spirometry		1
37671902			oxygen therapy	[('MAXO:0001298', 'therapy')]	treats			frequent cause of hospitalization	[('HP:0040282', 'Frequent')]	mondo:0006079	acute chest syndrome (acs) in children with sickle cell disease (scd)		[]		oxygen		1
37671902			pain management	[('MAXO:0000457', 'pain management')]	treats			frequent cause of hospitalization	[('HP:0040282', 'Frequent')]	mondo:0006079	acute chest syndrome (acs) in children with sickle cell disease (scd)		[]		pain management		1
38302121			prophylaxis	[]	prevents			infections	[]	mondo:0011382	sickle cell disease		[]		chebi:17334		1
38302121	maxo:0001298	therapy		[]	treats	hp:0001903	anemia		[]	mondo:0011382	sickle cell disease		[]		chebi:44423		1
38206762			multidisciplinary antenatal follow-up	[]	treats			complications in pregnancy	[]	mondo:0007374	sickle cell disease (scd)		[]	at least monthly	multidisciplinary antenatal follow-up		1
38206762			administering prophylactic aspirin	[]	prevents	hp:0100602	preeclampsia		[]	mondo:0007374	sickle cell disease (scd)		[]	with aspirin	chebi:15365		1
38206762			transfusion therapy	[('MAXO:0000756', 'transfusion'), ('MAXO:0001298', 'therapy')]	treats			complications in pregnancy	[]	mondo:0007374	sickle cell disease (scd)		[]	prophylactic	prophylactic transfusion therapy		1
38206762			automated red blood cell exchange	[]	treats			iron overload	[]	mondo:0007374	sickle cell disease (scd)		[]				1
38206762			automated red blood cell exchange	[]	treats			severe acute chest syndrome	[('HP:0011009', 'Acute'), ('HP:0012828', 'Severe')]	mondo:0007374	sickle cell disease (scd)		[]				1
38246310			in vitro assessment	[]	treats			cell deformation	[]	mondo:0007374	sickle cell disease (scd)		[]		quantitative phase imaging (qpi) and machine learning		1
38246310			in vitro assessment	[]	treats			classification of red blood cells (rbcs)	[]	mondo:0007374	sickle cell disease (scd)		[]		quantitative phase imaging (qpi) and machine learning	sickle-shaped	1
38246310			in vitro assessment using quantitative phase imaging (qpi) and machine learning	[]	treats			reduced membrane flexibility	[]	mondo:0007374	sickle cell disease (scd)		[]				1
38246310			treatment	[]	treats			cell deformation	[]	mondo:0007374	sickle cell disease (scd)		[]	with sodium metabisulfite	chebi:114786		1
38246310			treatment	[]	treats			sickle-shaped classification of red blood cells (rbcs)	[]	mondo:0007374	sickle cell disease (scd)		[]	with sodium metabisulfite	chebi:114786		1
38246310			treatment	[]	treats			reduced membrane flexibility	[]	mondo:0007374	sickle cell disease (scd)		[]	with sodium metabisulfite	chebi:114786		1
37653351	maxo:0000601	dialysis		[]	treats	hp:0000083	kidney failure		[]	mondo:0007374	sickle cell disease (scd)		[]				1
37653351			kidney transplantation	[('MAXO:0000068', 'transplantation')]	treats			kidney failure	[]	mondo:0007374	sickle cell disease (scd)		[]				1
37637401			newborn screening	[]	prevents			acute systemic complications	[('HP:0011009', 'Acute')]	mondo:0011382	sickle cell disease		[]				1
37637401			newborn screening	[]	prevents			chronic systemic complications	[('HP:0011010', 'Chronic'), ('HP:0011010', 'Chronic')]	mondo:0011382	sickle cell disease		[]				1
37637401			blood analysis	[]	treats			acute systemic complications	[('HP:0011009', 'Acute')]	mondo:0011382	sickle cell disease		[]	with hemotypesc	hemotypesc		1
37637401			blood analysis	[]	treats			chronic systemic complications	[('HP:0011010', 'Chronic'), ('HP:0011010', 'Chronic')]	mondo:0011382	sickle cell disease		[]	with hemotypesc	hemotypesc		1
37637401			parent/patient education	[]	prevents			acute systemic complications	[('HP:0011009', 'Acute')]			sickle cell disease	[('MONDO:0000001', 'sickle cell disease'), ('MONDO:0000001', 'disease')]				1
37637401			parent/patient education	[]	prevents			chronic systemic complications	[('HP:0011010', 'Chronic'), ('HP:0011010', 'Chronic')]	mondo:0011382	sickle cell disease		[]				1
37637401			early management programs	[]	prevents			acute systemic complications	[('HP:0011009', 'Acute')]			sickle cell disease	[('MONDO:0000001', 'sickle cell disease'), ('MONDO:0000001', 'disease')]				1
37637401			early management programs	[]	prevents			chronic systemic complications	[('HP:0011010', 'Chronic'), ('HP:0011010', 'Chronic')]	mondo:0011382	sickle cell disease		[]				1
37917573			systemic antibiotics treatment	[]	treats			painless left orbital swelling	[('HP:0012531', 'Pain'), ('HP:0012531', 'Pain')]			sickle cell orbitopathy	[('MONDO:0015687', 'CEL')]		chebi:33281		1
37917573			supportive treatment for vaso-occlusive crisis	[]	treats			bilateral lower limb pain	[('HP:0009763', 'Limb pain'), ('HP:0009763', 'Limb pain')]			sickle cell orbitopathy	[('MONDO:0015687', 'CEL')]				1
37743224	maxo:0000756	transfusion		[]	prevents			alloimmunization	[('HP:0000001', 'All')]	mondo:0007374	sickle cell disease (scd)		[]	prophylactic	red blood cell (rbc)	extended antigen matching	1
37743224			molecular typing	[]	prevents			alloimmunization	[('HP:0000001', 'All')]	mondo:0007374	sickle cell disease (scd)		[]				1
37743224			phenotyping	[]	prevents			alloimmunization	[('HP:0000001', 'All')]	mondo:0007374	sickle cell disease (scd)		[]				1
37743224			molecular genotyping	[]	prevents			alloimmunization	[('HP:0000001', 'All')]	mondo:0007374	sickle cell disease (scd)		[]		rh variant alleles		1
37606223	maxo:0000915	polysomnography (psg) screening		[]	treats			obstructive sleep apnea	[('HP:0002104', 'Obstructive sleep apnea'), ('HP:0002725', 'Apnea')]			sickle cell disease and asthma	[('MONDO:0004979', 'asthma'), ('MONDO:0000001', 'disease')]		polysomnography		1
37606223			routine care incorporation of screening for sleep-disordered breathing	[]	treats	hp:0002870	obstructive sleep apnea		[]			children with sickle cell disease and asthma	[('MONDO:0004979', 'asthma'), ('MONDO:0017014', 'disease')]				1
37883315			red blood cell exchange transfusions	[('MAXO:0000756', 'transfusion')]	treats			sickle cell disease	[]				[]				1
37883315			use of longer-length peripheral intravenous catheter	[]	prevents			increased pain on insertion	[('HP:0012531', 'Pain'), ('HP:0012531', 'Pain')]			sickle cell disease	[('MONDO:0000001', 'sickle cell disease'), ('MONDO:0000001', 'disease')]		longer-length peripheral intravenous catheter		1
37883315			use of longer-length peripheral intravenous catheter	[]	prevents			difficult vascular access	[]			sickle cell disease	[('MONDO:0000001', 'sickle cell disease'), ('MONDO:0000001', 'disease')]		longer-length peripheral intravenous catheter		1
37883315			use of longer-length peripheral intravenous catheter	[]	prevents			anxiety	[('HP:0000739', 'Anxiety'), ('HP:0000739', 'Anxiety')]			sickle cell disease	[('MONDO:0000001', 'sickle cell disease'), ('MONDO:0000001', 'disease')]		longer-length peripheral intravenous catheter		1
37939876			transcranial doppler	[]	prevents			overt stroke	[('HP:0001297', 'Stroke'), ('HP:0001297', 'Stroke')]	mondo:0011382	sickle cell disease		[]				1
