Citation	Subject	Subject Label	Predicate	Object	Object Label	Qualifier	Qualifier Label	Subject Qualifier	Subject Extension	Object Extension	Count
25840575	treatment		treats	nonpruritic urticarial skin rash		schnitzler's syndrome			interleukin-1-inhibitor		1
25840575	treatment with the interleukin-1-inhibitor		treats	hp:0001954	recurrent fever	schnitzler's syndrome			anakinra		1
25840575	treatment with the interleukin-1-inhibitor		treats	abnormal bone remodeling		schnitzler's syndrome			anakinra		1
25840575	treatment with the interleukin-1-inhibitor		treats	elevated crp level		schnitzler's syndrome			anakinra		1
25840575	treatment		treats	hp:0001974	leukocytosis	schnitzler's syndrome		anakinra	interleukin-1-inhibitor		1
25840575	treatment		treats	neutrophilic infiltrate on skin biopsy		schnitzler's syndrome			interleukin-1-inhibitor		1
30690794	maxo:0000595	radiography	treats	bone pain in the legs		mondo:0007542	camurati-engelmann disease				1
30690794	maxo:0000595	radiography	treats	hp:0001288	gait disturbance	mondo:0007542	camurati-engelmann disease				1
30690794	maxo:0001321	scintigraphy	treats	bone pain in the legs		mondo:0007542	camurati-engelmann disease				1
30690794	maxo:0001321	scintigraphy	treats	hp:0001288	gait disturbance	mondo:0007542	camurati-engelmann disease				1
30690794	maxo:0000595	radiography	treats	hp:0012514	leg pain	mondo:0007542	camurati-engelmann disease				1
30690794	maxo:0001321	scintigraphy	treats	hp:0012514	leg pain	mondo:0007542	camurati-engelmann disease				1
30690794	maxo:0000595	radiography	treats	hp:0006824	cranial nerve palsies	mondo:0007542	camurati-engelmann disease				1
30690794	maxo:0001321	scintigraphy	treats	hp:0006824	cranial nerve palsies	mondo:0007542	camurati-engelmann disease				1
21541994	repletion		treats	low serum 25-hydroxyvitamin d levels		mondo:0007542	camurati-engelmann disease		chebi:27300		1
21541994	repletion		treats	hp:0002749	osteomalacia	mondo:0007542	camurati-engelmann disease		chebi:27300		1
26427011	treatment of dental pulp cells		increases	sibling gene expression		mondo:0007542	progressive diaphyseal dysplasia (pdd)		recombinant human tgf-beta1		1
26427011	treatment of dental pulp cells		treats	reduced dentin matrix protein expression		mondo:0007542	progressive diaphyseal dysplasia (pdd)		recombinant human tgf-beta1		1
25145018	skeletal evaluation		treats	elevated bone alkaline phosphatase		mondo:0007542	camurati-engelmann disease				1
25145018	bone scintigraphy		treats	enhanced uptake on bone scintigraphy		mondo:0007542	camurati-engelmann disease		technetium methylene diphosphonate [99mtc]mpd		1
31899347	maxo:0000127	genetic testing	treats	limited phenotypes		genetic skeletal conditions			genetic testing		1
31899347	maxo:0000127	genetic testing	treats	symptomatic bone sclerosing lesions		genetic skeletal conditions					1
31899347	maxo:0000127	genetic testing	treats	asymptomatic bone sclerosing lesions		genetic skeletal conditions					1
16015183	imaging of the temporal bone		treats	camurati-engelmann dysplasia							1
30091466	injection		treats	hp:0002653	bone pain	mondo:0007542	camurati-engelmann disease		tgf-beta type 1 receptor inhibitor		1
30091466	injection		treats	hp:0020110	fractures	mondo:0007542	camurati-engelmann disease		tgf-beta type 1 receptor inhibitor		1
30091466	injection		treats	dysplasia		mondo:0007542	camurati-engelmann disease		tgf-beta type 1 receptor inhibitor		1
30091466	creation of a conjugate		prevents	side effects		mondo:0007542	camurati-engelmann disease		tgf-beta type 1 receptor inhibitor and alendronate		1
30091466	weekly injection		treats	hp:0002653	bone pain	mondo:0007542	camurati-engelmann disease		conjugate		1
30091466	weekly injection		treats	hp:0020110	fractures	mondo:0007542	camurati-engelmann disease		conjugate		1
30091466	weekly injection		treats	dysplasia		mondo:0007542	camurati-engelmann disease		conjugate		1
16915387	maxo:0000127	genetic analysis	treats	hp:0003155	increased alkaline phosphatase	hyperphosphatasia with massive osteoectasia					1
16915387	radiographic evaluation		treats	massive osteoectasia		hyperphosphatasia with massive osteoectasia					1
15894597	molecular diagnosis		treats	hp:0100252	camurati-engelmann disease						1
15894597	genetic counselling		prevents	incorrect diagnosis		mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
15894597	treatments		treats	pain in the extremities		camurati-engelmann disease			treatments		1
15894597	treatments		treats	hp:0002515	waddling gait	mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
15894597	treatments		treats	hp:0003388	easy fatigability	mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
15894597	treatments		treats	hp:0001324	muscular weakness	mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
15894597	diagnostic guidelines		treats	incorrect diagnosis		mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
15894597	prenatal testing		prevents	hp:0100252	camurati-engelmann disease						1
8295831	routine phlebography		prevents	misdiagnosis		mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
8295831	diagnosis based on radiological findings		treats	uncertainty		mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
28001254	imaging		treats	hp:0100252	camurati-engelmann disease						1
9661085	magnetic resonance imaging		treats	hp:0100252	camurati-engelmann disease	mondo:0007542	progressive diaphyseal dysplasia (pdd)				1
9661085	magnetic resonance imaging		treats	cerebellar ataxia		camurati-engelmann disease		na	na	na	1
33555353	surgery		treats	severe pain		camurati-engelmann disease			bone excision and artificial bone grafting		1
33555353	prescribed corticosteroids		prevents	symptoms		mondo:0007542	camurati-engelmann disease		chebi:50858		1
33555353	prescribed bisphosphonates		prevents	symptoms		mondo:0007542	camurati-engelmann disease		chebi:77383		1
33555353	prescribed losartan		prevents	symptoms		mondo:0007542	camurati-engelmann disease		chebi:6541		1
33555353	prescribed bisphosphonates		treats	severe pain		mondo:0007542	camurati-engelmann disease		chebi:77383		1
33555353	prescribed losartan		treats	severe pain		camurati-engelmann disease			losartan		1
33555353	prescribed prednisolone		treats	severe pain		mondo:0007542	camurati-engelmann disease		chebi:8378		1
24154985	exon sequencing of the tgfbeta1 gene		prevents	misdiagnosis		mondo:0007542	camurati-engelmann disease				1
24154985	glucocorticoids		treats	hp:0012531	pain	mondo:0007542	camurati-engelmann disease	with glucocorticoids	chebi:24261		1
24154985	cortical windowing		treats	cortical, periosteal, and endosteal thickenings		mondo:0007542	camurati-engelmann disease				1
26286906	long-term use of acetazolamide		treats	bilateral papilloedema		mondo:0007542	camurati-engelmann disease	long-term use	chebi:27690		1
26286906	investigation with neuroimaging		prevents	misdiagnosis of optic nerve canal stenosis		camurati-engelmann disease		not applicable	not applicable	not applicable	1
26286906	mri venogram		prevents	misdiagnosis of jugular vein canal compromise		mondo:0007542	camurati-engelmann disease				1
26286906	lumbar puncture		treats	hp:0002516	raised intracranial pressure	mondo:0007542	camurati-engelmann disease				1
30721323	targeting		treats	high bone turnover		mondo:0007542	camurati-engelmann disease		type i receptor		1
30721323	prescribing corticosteroids		treats	hp:0002653	bone pain	mondo:0007542	camurati-engelmann disease	with corticosteroids	chebi:50858		1
30721323	prescribing corticosteroids		treats	hp:0003388	easy fatigability	mondo:0007542	camurati-engelmann disease	with corticosteroids	chebi:50858		1
30721323	prescribing corticosteroids		treats	hp:0003199	decreased muscle mass	mondo:0007542	camurati-engelmann disease	with corticosteroids	chebi:50858		1
