Ratings,PMID        Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,30212788	Parental-reported neurodevelopmental issues in Loeys-Dietz syndrome. BACKGROUND: Loeys-Dietz syndrome (LDS) is a congenital multisystem disorder affecting the cardiovascular and musculoskeletal system. Limited data have reported neurodevelopmental (ND) issues in LDS. AIMS: To determine the extent of ND issues in patients with LDS. METHODS: A prospective study was performed of LDS patients or their caregivers. The study included data collected via an online survey of age-specific questions. Standard statistical methods were used for baseline and demographic characteristics,as well as group comparisons. OUTCOMES: Data were obtained from 67 patients with LDS (54% female). Median age was 14.9 years. Gene mutations included TGFBR1 (39%),TGFBR2 (40%),SMAD3 (7%),and unknown (14%). Motor delays (30%,18/61) and hypotonia (63%,37/60) occurred frequently. Physical (62%,39/62),occupational (41%,23/56),and speech therapies (34%,20/58) were common. Feeding issues were common (41%,23/56). TGFBR1 mutations were more frequent among those with motor delays and feeding issues. CONCLUSIONS: Patients with LDS and/or their caregivers report at least one ND problem in most cases,and many require therapies. These data suggest ND disorders should be considered to be part of the phenotype.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,27662508        Economic and care considerations of Marfan syndrome. INTRODUCTION: Marfan syndrome is a rare multisystem disease of the connective tissue,which affects multiple organ systems. advances in healthcare have doubled the life-expectancy of patients over the past three decades. to date,there is no comprehensive review that consolidates economic considerations and care for marfan patients. Areas covered: Present research suggests that there may be a link between treatment pattern,disease progression and economic costs of Marfan syndrome. It indicates that an early detection of the disease and preventive interventions achieve a dual aim. From a patient perspective,it may reduce the amount of emergency surgery or intervention,and inpatient stays. In addition,it slows disease progression,lowers lifestyle restrictions,reduces psychological stress,and improves health-related quality of life. Expert commentary: Early detection and preventive measures are likely to achieve a dual aim by simultaneously containing costs and reducing the number and length of inpatient stays.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,34428348	Toward precision medicine in vascular connective tissue disorders. Tremendous progress has been made in understanding the etiology,pathogenesis,and treatment of inherited vascular connective tissue disorders. While new insights regarding disease etiology and pathogenesis have informed patient counseling and care,there are numerous obstacles that need to be overcome in order to achieve the full promise of precision medicine. In this review,these issues will be discussed in the context of Marfan syndrome and Loeys-Dietz syndrome,with additional emphasis on the pioneering contributions made by Victor McKusick.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,33258798	Looking for new anabolic treatment from rare diseases of bone formation. Bone remodelling is a complex mechanism regulated by osteoclasts and osteoblasts and perturbation of this process leads to the onset of diseases,which may be characterised by altered bone erosion or formation. In this review,we will describe some bone formation-related disorders as sclerosteosis,van Buchem disease,hypophosphatasia and Camurati-Engelmann disease. In the past decades,the research focused on these rare disorders offered the opportunity to understand important pathways regulating bone formation. Thus,the identification of the molecular defects behind the etiopathology of these diseases will open the way for new therapeutic approaches applicable also to the management of more common bone diseases including osteoporosis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,30091466        Bone-targeted delivery of TGF-beta type 1 receptor inhibitor rescues uncoupled bone remodeling in Camurati-Engelmann disease. Camurati-Engelmann disease (CED) is a genetic bone-modeling disorder mainly caused by mutations in the gene that encodes transforming growth factor-beta1 (TGF-beta1). Symptoms of CED include bone pain,fractures,and dysplasia. Currently,effective therapies for bone fracture and dysplasia in CED are urgently needed. We have demonstrated that TGF-beta1 is a coupling factor for bone remodeling and is aberrantly activated in CED. Daily injection of TGF-beta type 1 receptor inhibitor (TbetaR1I) attenuated CED symptoms,but this systemic administration caused serious side effects. In this study,we created a conjugate linking TbetaR1I and alendronate,which delivered TbetaR1I specifically to bone. After weekly injection of the conjugate for 8 weeks,normal bone morphology and remodeling in CED mice was maintained with a minimum effective dose 700 times lower than TbetaR1I injection. Additionally,we found that the conjugate restored normal bone turnover by reducing the number of osteoblasts and osteoclasts,maintained a regular osteogenic microenvironment by regulating the formation of CD31 and Endomucin double-positive vessels,and preserved ordinary bone formation via inhibition of the migration of leptin-receptor-positive cells. Thus,targeting delivery of TbetaR1I to bone is a promising therapy for CED and other uncoupled bone remodeling disorders.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,27928112	An ENU-induced p.C225S missense mutation in the mouse Tgfb1 gene does not cause Camurati-Engelmann disease-like skeletal phenotypes. Camurati-Engelmann disease (CED) is a rare sclerosing bone disorder in humans with autosomal dominant inheritance. Mutations in the gene (TGFB1) that encodes transforming growth factor-beta1 (TGF-beta1) are causative for CED. TGF-beta1 signaling is enhanced by the CED-causing mutations. In this study,we performed Tgfb1 mutation screening in an ENU-mutagenized mouse genomic DNA library. We identified a missense mutation in which cysteine was substituted by serine at position 225 (p.C225S),that corresponded to the CED-causing mutation (p.C225R). TGF-beta1 mutant protein carrying p.C225S was secreted normally into the extracellular space. Reporter gene assays showed that the p.C225S mutants enhanced TGF-beta signaling at the same level as p.C225R mutants. We generated p.C225S homozygous mice and confirmed that the mature TGF-beta1 levels in the culture supernatants of the calvarial cells from the homozygotes were significantly higher than those from wild-type mice. Although the skull and femur are sclerotic in CED,these phenotypes were not observed in p.C225S homozygous mice. These results suggest that human and mouse bone tissue react differently to TGF-beta1. These findings are useful to pharmacological studies using mouse models in developing drugs that will target TGF-beta signaling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,29581211        Effects of vaccines in patients with sickle cell disease: a systematic review protocol. INTRODUCTION: Sickle cell disease (SCD) is an inherited haematological disorder caused by a single point mutation (Glub6Val) that promotes polymerisation of haemoglobin S and sickling of erythrocytes. Inflammation,haemolysis,microvascular obstruction and organ damage characterise the highly variable clinical expression of SCD. People with SCD are at increased risk of severe infections,hence the need for vaccination against common disease-causing organisms in this population. We aim to review the evidence on the efficacy and safety of vaccines in people with SCD. METHODS AND ANALYSIS: The present systematic review will examine the current data as indexed in PubMed,CENTRAL,EMBASE and EBSCOHost. We will consult Strategic Advisory Group of Experts practice statements,conference abstracts,reference lists of relevant articles,WHO ICTRP trial registry and experts in the field. Two authors will independently screen search outputs,select studies,extract data and assess risk of bias; resolving discrepancies by discussion and consensus between the two authors or arbitration by a third author when necessary. We will perform a meta-analysis for clinically homogenous studies. Evidence from clinically diverse studies will be aggregated using narrative synthesis of the findings. In either case,we will use the GRADE approach to assess the strength of the available evidence. ETHICS AND DISSEMINATION: The study draws on data that are readily available in the public domain,hence no formal ethical review and approval is required. The findings of this review will be disseminated through conference presentations and a publication in a peer-reviewed journal. PROSPERO REGISTRATION NUMBER: CRD42018084051.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,37541800        Global burden of transfusion in sickle cell disease. Sickle cell disease (SCD) is the most common hereditary hemoglobinopathy. The underlying pathophysiology of the red blood cell (RBC) leads to pan-systemic complications which manifest at an early age. While curative and disease-modifying treatments exist for SCD,a key intervention in the management and treatment of SCD is RBC transfusion,which can alleviate or prevent many complications. SCD patients often require chronic RBC transfusion therapy which can result in complications,such as iron overload,alloimmunization and infection. In low- and middle-income countries (LMICs),SCD patients lack appropriate access to healthcare such as newborn screening,health education,prophylaxis for infection,and treatments to reduce both mortality and SCD-related adverse effects. Poor access to RBCs for transfusion,coupled with donated blood not meeting safety standards set by the World Health Organization,presents a significant barrier for patients requiring chronic transfusions in LMICs. Unmet needs associated with blood collection,blood component processing and recipient matching all pose a serious problem in many LMICs,although this varies depending on geographic location,political organizations and economy. This review aims to provide an overview of the global burden of SCD,focusing on the availability of current treatments and the burden of chronic RBC transfusions in patients with SCD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,29112240	Splenectomy versus conservative management for acute sequestration crises in people with sickle cell disease. BACKGROUND: Acute splenic sequestration crises are a complication of sickle cell disease,with high mortality rates and frequent recurrence in survivors of first attacks. Splenectomy and blood transfusion,with their consequences,are the mainstay of long-term management used in different parts of the world. This is a 2017 update of a Cochrane Review first published in 2002,and previously updated,most recently in 2015. OBJECTIVES: To assess whether splenectomy (total or partial),to prevent acute splenic sequestration crises in people with sickle cell disease,improved survival and decreased morbidity in people with sickle cell disease,as compared with regular blood transfusions. SEARCH METHODS: We searched the Cochrane Cystic Fibrosis and Genetic Disorders Group Haemoglobinopathies Trials Register,which comprises of references identified from comprehensive electronic database searches and handsearching relevant journals and abstract books of conference proceedings. We also searched clinical trial registries. Additional trials were sought from the reference lists of the trials and reviews identified by the search strategy.Date of the most recent search: 14 August 2017. SELECTION CRITERIA: All randomized or quasi-randomized controlled trials comparing splenectomy (total or partial) to prevent recurrence of acute splenic sequestration crises with no treatment or blood transfusions in people with sickle cell disease. DATA COLLECTION AND ANALYSIS: No trials of splenectomy for acute splenic sequestration were found. MAIN RESULTS: No trials of splenectomy for acute splenic sequestration were found. AUTHORS' CONCLUSIONS: Splenectomy,if full,will prevent further sequestration and if partial,may reduce the recurrence of acute splenic sequestration crises. However,there is a lack of evidence from trials showing that splenectomy improves survival and decreases morbidity in people with sickle cell disease. There is a need for a well-designed,adequately-powered,randomized controlled trial to assess the benefits and risks of splenectomy compared to transfusion programmes,as a means of improving survival and decreasing mortality from acute splenic sequestration in people with sickle cell disease.There are no trials included in the review and we have not identified any relevant trials up to August 2017. We will continue to run searches to identify any potentially relevant trials; however,we do not plan to update other sections of the review until new trials are published.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEGATIVE,"36790450	""A Qualitative Systematic Review of Pediatric Patient and Caregiver Perspectives on Pain Management for Vaso-Occlusive Episodes in the Emergency Department. OBJECTIVES: The primary objective of this study is to describe the experiences of pediatric patients with sickle cell disease (SCD) and their caregivers who have presented to the emergency department (ED) for management of vaso-occlusive pain events. METHODS: We conducted a qualitative systematic review. The search protocol was developed to identify both published and unpublished literature that met inclusion/exclusion criteria. Included articles were primary hospital-based research with study populations that included (but were not limited to) pediatric patients aged 21 years or younger and qualitative or mixed-method analysis. RESULTS: Four themes were identified: (1) patients and caregivers perceive the ED as the last resort; (2) health care professionals in the ED lacked knowledge about SCD but rejected patients' and caregiver's attempts to share experience or advocate for their needs; (3) patients' accounts of pain are doubted because they do not always have """"typical"""" signs of pain; and (4) caregivers identify racism as a reason for suboptimal care in the ED. CONCLUSIONS: There are multiple opportunities to improve management for vaso-occlusive pain events in the ED",including education of health care providers about SCD and complications,partnership between patients/caregivers and providers,"and efforts to reduce the impact of systemic racism on health care delivery.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
