PMID	Text
21992158	Treatment of chronic chest wall pain in a patient with Loeys-Dietz syndrome using spinal cord stimulation. OBJECTIVE: Spinal cord stimulation (SCS) has been used with increased frequency for the treatment of intractable pain including chronic chest pain. METHODS: The patient with a history of Loeys-Dietz syndrome who underwent repair of pectus excavatum with subsequent chronic chest wall pain underwent an uneventful SCS trial with percutaneous epidural placement of two temporary eight-electrode leads placed at the level of T3-T4-T5. RESULTS: After experiencing excellent pain relief over the next two days, the patient was implanted with permanent leads and rechargeable generator four weeks later and reported sustained pain relief at 12-month follow-up visit. CONCLUSION: SCS provides an effective, alternative treatment option for select patients with Loeys-Dietz syndrome who underwent repair of pectus excavatum with subsequent chronic chest wall pain who have failed conservative treatment. SCS may provide pain relief with advantages over conservative treatments and more invasive techniques.
24045763	A patient with Loeys-Dietz syndrome treated with chemoradiotherapy for an oropharyngeal carcinoma. We present the first published case of a patient with Loeys-Dietz syndrome (LDS) who was treated with radical chemoradiotherapy for an oropharyngeal carcinoma. In view of this newly recognised connective tissue disease, the uncertainty of severe toxicity from chemoradiotherapy to treat a potentially curative cancer posed a management challenge. The patient was treated with chemoradiotherapy and remains well with no evidence of recurrence at 3 years. Furthermore, we have observed minimal late effects secondary to chemoradiotherapy at 3 years following the completion of treatment suggesting that the underlying pathogenesis of LDS may provide an interesting human model to further elucidate the complex interactions of transforming growth factor beta1 (TGF-beta1) and tissue fibrosis secondary to chemoradiotherapy. A review of LDS as well as the association of TGF-beta1 expression and tissue fibrosis is presented. 
25203753	Hemodynamic instability during anesthesia in an adolescent with Loeys-Dietz syndrome: a case report. We present a case of a 12-year-old male with Loeys-Dietz syndrome (LDS), a rare life-threatening genetic disorder. Multiple manifestations of LDS were present, including easy bruising, aortic root dilatation, multiple areas of vessel tortuosity, and joint laxity. The patient's medications included a beta-blocker and an angiotensin II receptor antagonist for prophylaxis against further aortic root dilatation due to his LDS. He experienced intraoperative hemodynamic instability and became pulseless during an orthopedic procedure, which had to be abandoned. Anesthesia was reattempted 2 days after cessation of the patient's antihypertensive medications and was successful with only minor postoperative hypertension. 
29889773	Spondylolisthesis is Common, Early, and Severe in Loeys-Dietz Syndrome. BACKGROUND: We studied the prevalence and treatment outcomes of spondylolisthesis in patients with Loeys-Dietz syndrome (LDS). METHODS: Clinical data and lumbosacral imaging of 138 patients with LDS were reviewed. Spondylolisthesis (L4-L5 or L5-S1) and spondylolysis were characterized by multimodal imaging and correlated with clinical data. Treatments and outcomes were characterized for patients with spondylolisthesis. Associations were determined using the Fisher exact, Mann-Whitney, and Student t tests (alpha=0.05). RESULTS: Twenty-four patients (17%) had spondylolysis and 23 (17%) had spondylolisthesis. Median age at spondylolisthesis diagnosis was 11 (interquartile range, 9.5) years. In patients in whom measurement was possible (n=20), mean (+-SD) slip was 48% (+-35%). Nineteen patients had L5-S1 slip and 4 had L4-L5 slip. Of the patients with spondylolisthesis, 5 had no evidence of spondylolysis; of those with spondylolysis, all but 6 had spondylolisthesis. Eleven patients with spondylolisthesis underwent posterior spinal fusion (PSF) to treat slip progression, pain, and/or neurological deficit. Spondylolisthesis recurred in 1 patient who underwent PSF with bone graft arthrodesis alone (no instrumentation). The other 10 patients underwent PSF with instrumentation and fusion. Three patients additionally underwent Bohlman interbody fusion. Two patients developed implant failure. S2 fixation was performed at revision to achieve fusion in these patients. Mean Meyerding grade improved in patients who underwent arthrodesis, from 3.9 (+-1.2) to 1.9 (+-1.3) (P=0.002). Complications were 2 cerebrospinal fluid leaks, 2 transient postoperative paresthesias, and 1 case each of pseudarthrosis at S1-S2, wound dehiscence, and transient urinary incontinence. No significant associations between LDS type and lumbosacral abnormalities were found. CONCLUSIONS: High-grade spondylolisthesis is common in LDS and usually associated with spondylolysis. Patients requiring surgery for spondylolisthesis present during childhood and do well after instrumented PSF. Interbody fusion and stabilization of S1 and S2 can prevent physeal deformation. LDS should be considered in patients with high-grade spondylolisthesis. Patients with LDS should be monitored for spondylolisthesis and spondylolysis starting when they are young. LEVEL OF EVIDENCE: Level IV-retrospective study.
23350955	Imaging and percutaneous occlusion of a large aneurysm of the ductus arteriosus in an infant with Loeys-Dietz syndrome. Loeys-Dietz is a multisystem congenital syndrome that comprises craniofacial and cutaneous abnormalities as well as structural cardiac defects. One of its key pathological features is an aggressive widespread vasculopathy that can manifest as aortic or cerebral aneurysms, which is prone to dissection and rupture. We report a case of a large aneurysm of the ductus arteriosus in a patient with Loeys-Dietz syndrome, successfully occluded by interventional catheterization. 
29350591	Clip ligation for ruptured intracranial aneurysm in a child with Loeys-Dietz syndrome: case report. The authors present the case of a pediatric patient with Loeys-Dietz syndrome (LDS) who underwent craniotomy for clip ligation of a ruptured intracranial aneurysm. To the authors' knowledge, this is the youngest reported patient with LDS who has been treated for a ruptured intracranial aneurysm. The patient presented with aneurysmal subarachnoid hemorrhage even though the results of surveillance screening were negative, and the aneurysm arose from the wall of the parent artery away from an arterial branch point. She was treated with open clip ligation and recovered well. The authors review the other reported cases of treated intracranial aneurysms in patients with LDS.
24395868	Cerebral arterial angioplasty in a patient with Loeys-Dietz syndrome. A 14-year-old boy with Loeys-Dietz syndrome (LDS) had an acute neurologic decline 6 days after a subarachnoid hemorrhage. Cerebral angiography at presentation did not show an aneurysmal source of the hemorrhage. However, on post-bleed day 6 the patient experienced an acutely worsening headache and subsequently lost consciousness. Head CT showed new subarachnoid blood and repeat angiography demonstrated a basilar tip aneurysm. Endovascular coil embolization was performed and his neurologic status improved postoperatively until post-bleed day 9 when he became unresponsive. A CT angiogram demonstrated severe proximal vasospasm. After an unsuccessful attempt to treat the vasospasm medically, the patient was transported to the neurointerventional suite for intra-arterial vasodilator treatment, which also failed to ameliorate the vasospasm. The endovascular surgeons were then faced with the conundrum of attempting a high-risk cerebral angioplasty in a pediatric patient with LDS or returning to maximal medical treatment for severe refractory vasospasm. 
31842932	Oral health-related quality of life in Loeys-Dietz syndrome, a rare connective tissue disorder: an observational cohort study. BACKGROUND: Loeys-Dietz syndrome (LDS) is a rare connective tissue disorder whose oral manifestations and dental phenotypes have not been well-characterized. The aim of this study was to explore the influence of oral manifestations on oral health-related quality of life (OHRQoL) in LDS patients. MATERIAL AND METHODS: LDS subjects were assessed by the craniofacial team at the National Institutes of Health Clinical Center Dental Clinic between June 2015 and January 2018. Oral Health Impact Profile (OHIP-14) questionnaire, oral health self-care behavior questionnaire and a comprehensive dental examination were completed for each subject. OHRQoL was assessed using the OHIP-14 questionnaire with higher scores corresponding to worse OHRQoL. Regression models were used to determine the relationship between each oral manifestation and the OHIP-14 scores using a level of significance of p <= 0.05. RESULTS: A total of 33 LDS subjects (51.5% female) aged 3-57 years (19.6 +- 15.1 years) were included in the study. The OHIP-14 scores (n = 33) were significantly higher in LDS subjects (6.30 [SD 6.37]) when compared to unaffected family member subjects (1.50 [SD 2.28], p < 0.01), and higher than the previously reported scores of the general U.S. population (2.81 [SD 0.12]). Regarding oral health self-care behavior (n = 32), the majority of LDS subjects reported receiving regular dental care (81%) and maintaining good-to-excellent daily oral hygiene (75%). Using a crude regression model, worse OHRQoL was found to be associated with dental hypersensitivity (beta = 5.24; p < 0.05), temporomandibular joints (TMJ) abnormalities (beta = 5.92; p < 0.01), self-reported poor-to-fair oral health status (beta = 6.77; p < 0.01), and cumulation of four or more oral manifestations (beta = 7.23; p < 0.001). Finally, using a parsimonious model, self-reported poor-to-fair oral health status (beta = 5.87; p < 0.01) and TMJ abnormalities (beta = 4.95; p < 0.01) remained significant. CONCLUSIONS: The dental hypersensitivity, TMJ abnormalities, self-reported poor-to-fair oral health status and cumulation of four-or-more oral manifestations had significant influence on worse OHRQoL. Specific dental treatment guidelines are necessary to ensure optimal quality of life in patients diagnosed with LDS.
28604473	Perioperative Anesthetic Management for Cesarean Delivery in a Parturient With Type IV Loeys-Dietz Syndrome: A Case Report. Loeys-Dietz syndrome (LDS) is a rare connective tissue disorder predisposing to aortic and arterial aneurysms. Presentations are classified into subtypes based on gene mutations. Pregnancy in patients with LDS is considered very high risk due to the potential for aortic dissection and uterine rupture. We report successful management of an elective cesarean delivery in a 16-year-old patient with LDS type IV using epidural anesthesia. Perioperative considerations and multidisciplinary management specific to taking care of parturients with LDS are discussed.
24399673	Percutanous closure of left ventricular aneurysms in a patient with Loeys-Dietz syndrome. We report a case of percutaneous closure of multiple left ventricular aneurysms in a patient with inherited aortic-aneurysm syndrome-the Loeys-Dietz syndrome. One aneurysm was a true aneurysm in the subaortic region and the second one was a pseudoaneurysm at the left ventricular apex. The patient was a high-risk candidate for repeated operations. Both aneurysms were closed successfully percutaneously in staged procedures. There were no complications. The patient remained clinically well with stable echocardiographic results upon reassessment. This case illustrated that catheter-based closure of left ventricular aneurysms is a feasible approach in the context of connective tissue abnormalities related to the Loeys-Dietz syndrome.
