PMID	Title	Abstract
27620860	Comparison of clinical features, treatment, and outcomes of collagenous sprue, celiac disease, and collagenous colitis.	BACKGROUND: Collagenous sprue (CS) is a rare form of enteropathy that had been reported to be associated with celiac disease (CD) and collagenous colitis (CC). The aim of our study was to compare the clinical features, treatments, and outcomes of CS, CD, and CC. METHODS: All patients with histologic diagnosis of CS, CD, or CC with complete clinical data were extracted from our pathology database between 1990 and 2015. Demographic and clinical features were recorded along with treatments and outcomes. RESULTS: A total of 21 patients with CS were included. Overall CS patients were more symptomatic with 17 (81.0%) patients with diarrhea and 15 (71.4%) with unintentional weight loss. Positive celiac serology was noted in 5 (23.8%) CS patients. CS patients had higher rates for disease-related temporary total parenteral nutrition (TPN) use (38.1% vs. 1.1% vs. 1.0%, P < 0.0001) and disease-related hospitalization (52.4% vs. 3.3% vs. 8.2%, P < 0.0001) than that in CD and CC patients. Twenty CS patients received treatments, including the combination of gluten-free diet (GFD) and corticosteroids (n = 12), GFD only (n = 2), and corticosteroids only (n = 6). All CS patients showed symptomatic reliefs with treatment. Although CS patients had a higher rate for hospitalization and TPN use, disease-related death was not observed in all three groups. CONCLUSIONS: Collagenous sprue patients had more severe clinical presentation than patients with CD and CC and therefore had higher demand for temporary TPN and hospitalization. Nevertheless, a prompt use of steroids and/or GFD upon histologic diagnosis of CS may have contributed to an overall excellent prognosis.
24603159	Prolactin may be increased in newly diagnosed celiac children and adolescents and decreases after 6 months of gluten-free diet.	BACKGROUND/AIMS: Prolactin (PRL) is produced by the anterior pituitary gland. It exerts its role on the breast gland but also plays a modulatory role in autoimmune mechanisms. Celiac disease (CD) is a gluten-sensitive autoimmune enteropathy sometimes associated with autoimmune endocrinopathies. No data on PRL levels in CD patients are available at diagnosis, and no conclusive data are reported. METHODS: We aimed to evaluate PRL secretion in newly diagnosed CD pediatric patients and, in the case of hyperprolactinemia, any changes in its levels while the patients were on a gluten-free diet (GFD). We recruited 67 patients and 39 healthy controls. RESULTS: PRL was statistically higher in the CD patients (13.5+-9.2 ng/ml) than in the controls (8.5+-5.0 ng/ml). In the CD group, PRL was inversely correlated with the age at diagnosis (r=-0.326; p=0.007). In patients with hyperprolactinemia at diagnosis, PRL decreased after 6 months of GFD. CONCLUSION: This paper confirms that PRL may be increased at diagnosis of CD and shows, for the first time, that it decreases after a short course of GFD. Changes in the levels of inflammatory cytokines in CD may account for changes in PRL levels. Younger patients seem more prone to develop hyperprolactinemia than older ones.
21695949	[Bone mineral density in patients with celiac disease and medical treatment of the disorder].	The article presents the results of a bone mineral density study in patients with glutensensitive celiac disease. Was discussed problem of malabsorption syndrome with clinical and pathogenetic point of view, which can lead to bone loss due to malabsorption of calcium and vitamin D for celiac disease. Also was take into account the effect of inflammatory cytokines and hormones on calcium regulating processes of bone remodeling. The role of adherence to a gluten-free diet in the formation of bone loss. The article is illustrated with three tables, one figure and two schedules.
28102654	Tuberculosis and tuberculin skin test reactivity in pediatric patients with celiac disease.	BACKGROUND: The aim of the study was to determine tuberculin skin test reactivity and associated factors in pediatric patients with celiac disease (CD). METHODS: Tuberculin skin test (TST) was performed on 28 patients with CD aged from 1 year to 15 years (mean, 6.64+-4.8) and 28 healthy age and sex-matched children. The association between TST reactivity and parameters such as age, gender, malnutrition, clinical presentation, compliance to gluten free diet and response to hepatitis A and B vaccinations were determined. RESULTS: No difference was observed in TST reactivity (induration size) between the patients with CD and healthy controls. Thirty-two percent (9/28) of the patients were anergic, and one-third of these nine patients had malnutrition. No significant difference was observed between TST-positive and TST-negative patients in terms of age, gender, malnutrition, compliance to gluten-free diet and response to hepatitis A and B vaccinations (P>0.05). One of 11 patients with positive TST had tuberculosis disease and 10 had latent tuberculosis infection (LTBI), whereas none of the controls had LTBI or tuberculosis disease (P=0.0007). CONCLUSIONS: Although based on a small number of cases, it seems that children with CD are more susceptible to tuberculosis than healthy children. TST can be used to identify BCG-vaccinated children with CD who are probably infected with M. tuberculosis, similarly to healthy children.
37131195	Clinical features, treatment, and outcomes of celiac-associated arthritis: a retrospective cohort study.	BACKGROUND: Although arthritis is recognized as an extra-intestinal manifestation of celiac disease, little is known about the clinical course and outcomes of pediatric celiac-associated arthritis. This study describes clinical characteristics, treatments, and outcomes of children with celiac-associated arthritis. METHODS: This was a retrospective cohort study of children with celiac disease seen in pediatric rheumatology clinic between 2004 and 2021 for joint complaints. Data was abstracted from electronic health records. Patient demographics and clinical manifestations were evaluated using standard descriptive statistics. Physician- and patient-reported outcomes were evaluated at the index visit, 6-month follow-up, and last recorded visit, and were compared using Wilcoxon signed-rank tests. RESULTS: Twenty-nine patients with celiac disease were evaluated for joint complaints, and 13 were diagnosed with arthritis. Their mean age was 8.9 years (SD 5.9), and 61.5% were female. Celiac disease diagnosis was made before arthritis diagnosis in only 2 cases (15.4%). Initial testing that led to the celiac disease diagnosis was obtained by the rheumatologist in 6 cases (46.2%). Only 8 patients (61.5%) had concomitant GI symptoms, and of these, 3 patients had BMI z-scores <-1.64 and 1 had impaired linear growth. Arthritis presentation was most often oligoarticular (76.9%) and asymmetric (84.6%). Most cases required systemic therapy (n = 11, 84.6%) with DMARDs, biologics, or both. Of the 10 patients who required systemic therapy and reported compliance with the gluten-free diet, 3 (30%) were able to stop systemic medications. Two of 3 patients who cleared celiac serologies came off systemic medications. Statistically significant improvement was noted in the number of joints involved (p = 0.02) and physician global assessment of disease activity (p = 0.03) between the index and final visit. CONCLUSIONS: Rheumatologists play an important role in the identification of celiac disease, as arthritis was the presenting symptom in most cases and was not always associated with GI symptoms or poor growth. The arthritis was most often oligoarticular and asymmetric. Most children required systemic therapy. The gluten-free diet may not be sufficient to manage arthritis, but antibody clearance may be an indicator of higher likelihood of disease control off medications. Outcomes are promising with a combination of diet and medical therapy.
31173891	Rate, Risk Factors, and Outcomes of Nonadherence in Pediatric Patients With Celiac Disease: A Systematic Review.	BACKGROUND AND AIMS: The only treatment for celiac disease is strict adherence to a gluten-free diet (GFD). We performed a systematic review to investigate the rate of adherence to a GFD in children with celiac disease, risk factors that affect adherence, and outcomes of non-adherence. METHODS: We searched PubMed, Cochrane Library, EBSCO, and Scopus for studies through January 2019. We included observational studies of >=50 children diagnosed with celiac disease and recommended for placement on a GFD. We collected data on adherence assessment (self-report, serology tests, structured dietary interview, biopsies, or assays for gluten immunogenic peptides), risk factors, and outcomes related to adherence. Findings were presented with medians, range, and a narrative synthesis. RESULTS: We identified 703 studies; of these, 167 were eligible for full-text assessment and 49 were included in the final analysis, comprising 7850 children. Rates of adherence to a GFD ranged from 23% to 98%. Comparable rates (median rates of adherence, 75%-87%) were found irrespective of how assessments were performed. Adolescents were at risk of non-adherence and children whose parents had good knowledge about celiac disease adhered more strictly. Non-adherence associated with patient growth, symptoms, and quality of life. CONCLUSION: In a systematic review of 49 studies of children with celiac disease, we found substantial variation in adherence to a GFD among patients. Rate of adherence was not associated with method of adherence measurement, so all methods appear to be useful, with lack of consensus on the ideal metric. Studies are needed to determine the best method to ensure adherence and effects on long-term health.
24137952	[Successful therapy for enteropathy-associated peripheral T-cell lymphoma using high-dose polychemotherapy and autologous hematopoietic stem cell transplantation].	Enteropathy-associated T-cell lymphoma (EATL) is a rare disease that accounts for not more than 1.4% of all lymphomas. It is most common in Europe, followed by North America and Asia. The disease is associated with gluten-sensitive celiac disease in 50% of cases and divided into types I and II. Mean-dose CHOP-like therapy is ineffective, with a median overall survival of 7-10 months. With high-dose therapy, 5-year survival rates can be 60%, but it can be used in not more than half of the cases. This is associated with the serious somatic status of most patients at diagnosis and with a median age of 57-64 years. The article presents a literature review and a case of successful therapy in a 58-year-old patient with type I EATL using the mNHL-BFM-90 protocol and autologous hematopoietic stem cell transplantation.
25499458	Celiac disease: an immune dysregulation syndrome.	Celiac disease is a chronic immune-mediated condition that develops in genetically predisposed individuals. It is characterized by the presence of circulating auto-antibodies in addition to an enteropathy and at times, other extra-intestinal manifestations triggered by exposure to the gliadin fraction of gluten, a family of proteins found in wheat, barley, and rye. There seems to be a rise in reported adverse reactions to gluten, an entity currently termed non-celiac gluten (or perhaps more accurately, wheat) sensitivity, where neither the enteropathy nor the auto-antibodies are present. Celiac disease has protean extra-intestinal manifestations, and an accurate diagnosis should be sought in people suffering from seemingly unrelated complaints, such as fatigue, anorexia, delayed puberty, short stature, decreased bone density, unusual skin rashes, unexplained iron deficiency, and infertility. The presence of an enteropathy, in conjunction with the positive serology, is considered the diagnostic gold standard for making the diagnosis of celiac disease. It is important to stress that the elimination of gluten, even in asymptomatic patients, brings about health benefits, particularly in relation to bone health, as well as a decrease in the incidence of small bowel malignancy, especially lymphoma. Better understanding of the pathophysiology of celiac disease and the molecular mechanisms involved in antigen recognition and processing has provided the impetus for the development of pharmacologic agents that might block the recognition of gluten and its conversion to a toxic antigenic target. Inhibition of tight junction dysregulation could also prevent or minimize the damage triggered by gluten. Work on genetically modified wheat cultivars has progressed, and the possibility of a vaccine to block the immune mediated trigger is being actively investigated. Education and guidance by a knowledgeable nutritionist or registered dietitian can go a long way in minimizing the stress and facilitating the acceptance of the diet and the life-style changes that it represents. 
36674460	New Developments in Celiac Disease Treatment.	Celiac disease (CD) is a common autoimmune disease affecting around 1% of the population. It consists of an immune-mediated enteropathy, triggered by gluten exposure in susceptible patients. All patients with CD, irrespective of the presence of symptoms, must endure a lifelong gluten-free diet (GFD). This is not an easy task due to a lack of awareness of the gluten content in foods and the extensive incorporation of gluten in processed foods. Furthermore, a GFD imposes a sense of limitation and might be associated with decreased quality of life in CD patients. This results in gluten contamination in the diet of four out of five celiac patients adhering to a GFD. Furthermore, one in three adult patients will report persistent symptoms and two in three will not achieve full histological recovery when on a GFD. In recent years, there has been extensive research conducted in the quest to find the holy grail of pharmacological treatment for CD. This review will present a concise description of the current rationale and main clinical trials related to CD drug therapy.
23936873	Clinical features and symptom recovery on a gluten-free diet in Canadian adults with celiac disease.	BACKGROUND: Celiac disease can present with mild or nongastrointestinal symptoms, and may escape timely recognition. The treatment of celiac disease involves a gluten-free diet, which is complex and challenging. OBJECTIVE: To evaluate clinical features and symptom recovery on a gluten-free diet in a Canadian adult celiac population. METHODS: All adult members (n=10,693) of the two national celiac support organizations, the Canadian Celiac Association and Fondation quebecoise de la maladie coeliaque, were surveyed using a questionnaire. RESULTS: A total of 5912 individuals (>=18 years of age) with biopsy-confirmed celiac disease and/or dermatitis herpetiformis completed the survey. The female to male ratio was 3:1, and mean (+- SD) age at diagnosis was 45.2 +- 16.4 years. Mean time to diagnosis after onset of symptoms was 12.0 +- 14.4 years. Abdominal pain and bloating (84.9%), extreme weakness/tiredness (74.2%), diarrhea (71.7%) and anemia (67.8%) were the most commonly reported symptoms at the time of diagnosis. Many respondents continued to experience symptoms after being on a gluten-free diet for >5 years. Sex differences were reported in clinical features before diagnosis, recovery after being on gluten-free diet and perceived quality of life, with women experiencing more difficulties than men. CONCLUSIONS: Delays in diagnosis of celiac disease in Canada remain unacceptably long despite wider availability of serological screening tests. Many patients report continuing symptoms despite adhering to a gluten-free diet for >5 years, with women experiencing more symptoms and a lower recovery rate than men. Awareness of celiac disease needs improvement, and follow-up with a physician and a dietitian is essential for all patients with celiac disease.
