PMID	Title	Abstract
29035969	Effects of medical food leucine content in the management of methylmalonic and propionic acidemias.	PURPOSE OF REVIEW: The current review highlights the varied effects of medical foods high in leucine (Leu) and devoid of valine (Val) and isoleucine (Ile) in the management of methylmalonic acidemia (MMA) and propionic acidemia and cobalamin C (cblC) deficiency, aiming to advance dietary practices. RECENT FINDINGS: Leu is a key metabolic regulator with a multitude of effects on different organ systems. Recent observational studies have demonstrated that these effects can have unintended consequences in patients with MMA as a result of liberal use of medical foods. The combination of protein restriction and medical food use in MMA and propionic acidemia results in an imbalanced branched-chain amino acid (BCAA) dietary content with a high Leu-to-Val and/or Ile ratio. This leads to decreased plasma levels of Val and Ile and predicts impaired brain uptake of multiple essential amino acids. Decreased transport of methionine (Met) across the blood-brain barrier due to high circulating Leu levels is of particular concern in cblC deficiency in which endogenous Met synthesis is impaired. SUMMARY: Investigations into the optimal composition of medical foods for MMA and propionic acidemia, and potential scenarios in which Leu supplementation may be beneficial are needed. Until then, MMA/propionic acidemia medical foods should be used judiciously in the dietary management of these patients and avoided altogether in cblC deficiency.
26358860	Reversal of cardiomyopathy in propionic acidemia after liver transplantation: a 10-year follow-up.	Cardiomyopathy is a frequent complication in propionic acidemia. It is mostly rapidly fatal and independent of the metabolic control or medical intervention. Here, we present the reversal of a severe cardiomyopathy after liver transplantation in a patient with propionic acidemia and the long-term stability after ten years. Liver transplantation in patients with propionic acidemia may be considered a valid and long-lasting treatment when cardiomyopathy is progressive and unresponsive to medical therapy. 
33451859	High protein prescription in methylmalonic and propionic acidemia patients and its negative association with long-term outcome.	BACKGROUND AND OBJECTIVE: Methylmalonic acidemia (MMA) and propionic acidemia (PA) are inborn errors of metabolism. While survival of MMA and PA patients has improved in recent decades, long-term outcome is still unsatisfactory. A protein restricted diet is the mainstay for treatment. Additional amino acid mixtures (AAM) can be prescribed if natural protein is insufficient. It is unknown if dietary treatment can have an impact on outcome. DESIGN: We performed a nationwide retrospective cohort study and evaluated both longitudinal dietary treatment and clinical course of Dutch MMA and PA patients. Protein prescription was compared to the recommended daily allowances (RDA); the safe level of protein intake as provided by the World Health Organization. The association of longitudinal dietary treatment with long-term outcome was evaluated. RESULTS: The cohort included 76 patients with a median retrospective follow-up period of 15 years (min-max: 0-48 years) and a total of 1063 patient years on a protein restricted diet. Natural protein prescription exceeded the RDA in 37% (470/1287) of all prescriptions and due to AAM prescription, the total protein prescription exceeded RDA in 84% (1070/1277). Higher protein prescriptions were associated with adverse outcomes in severely affected patients. In PA early onset patients a higher natural protein prescription was associated with more frequent AMD. In MMA vitamin B12 unresponsive patients, both a higher total protein prescription and AAM protein prescription were associated with more mitochondrial complications. A higher AAM protein prescription was associated with an increased frequency of cognitive impairment in the entire. CONCLUSION: Protein intake in excess of recommendations is frequent and is associated with poor outcome.
35068050	Inborn error of metabolism patients after liver transplantation: Outcomes of 35 patients over 27 years in one pediatric quaternary hospital.	Liver transplantation (LT) has been used for many years as a therapeutic option for certain inborn errors of metabolism (IEMs). Here we present one institution's 27 years of experience with LT in IEMs. Our objective is to assess the outcomes of IEM patients who have undergone LT, which we hypothesize to be generally successful for prevention of metabolic decompensation. A retrospective chart review was performed on patients with urea cycle defects, organic acidemias, and amino acidopathies who underwent LT at the Children's Hospital of Philadelphia. Thirty-five patients with the following conditions have undergone LT: tyrosinemia (8), methylmalonic acidemia (7), maple syrup urine disease (6), citrullinemia (6), ornithine transcarbamylase deficiency (4), propionic acidemia (2), and argininosuccinate lyase deficiency (2). Average age at transplantation was 3.6 years. Three patients are now deceased. One patient suffered a metabolic stroke posttransplant. No episodes of metabolic decompensation have been noted. Thirty-five patients received LT with generally favorable outcome. None sustained metabolic decompensation posttransplant. As has been reported previously, LT does not ameliorate pre-existing developmental differences or risk to other organ systems. Further research is needed to aid in standardization of care and follow-up, as most patients no longer follow with a geneticist.
38796677	An Early Cost-Utility Model of mRNA-Based Therapies for the Treatment of Methylmalonic and Propionic Acidemia in the United Kingdom.	BACKGROUND AND OBJECTIVE: Novel messenger RNA (mRNA)-based therapies, currently in development, are emerging as a promising potential treatment modality for a broad range of life-threatening and life-limiting inherited liver diseases, including methylmalonic acidemia (MMA) and propionic acidemia (PA). However, owing in part to their complexity, they are likely to come at considerable financial cost to healthcare systems. The objective of this research was to synthesize available evidence on the costs and clinical consequences associated with MMA and PA for the purpose of exploratory economic evaluation of novel mRNA-based therapies using an early cost-utility model from the United Kingdom payer perspective. METHODS: A Markov model was constructed to simulate the costs and outcomes associated with novel mRNA therapies, compared with a combination of dietary management and organ transplantation (standard of care) among hypothetical cohorts of new-born patients with MMA and PA. Key model drivers were identified, and a price threshold analysis was performed to estimate value-based price ranges for future mRNA therapies given willingness-to-pay thresholds for orphan diseases. RESULTS: mRNA therapy was associated with an additional 5.7 and 1.3 quality-adjusted life-years (QALYs) gained per patient lifetime among patients with MMA and PA, respectively. Key drivers of cost-effectiveness were relative improvement in utility among patients who receive mRNA-based therapy and transplantation, and the cost of mRNA therapy. Assuming a willingness to pay range of $100,000-$300,000 per QALY gained, the model demonstrated mRNA therapy to be cost-effective in MMA and PA at an annual treatment cost of $70,452-$94,575 and $31,313-$36,695, respectively. CONCLUSIONS: Despite the lack of a strong evidence base in MMA and PA, this model provides a useful tool to estimate the cost-effectiveness, and inform value-based pricing, of new mRNA-based therapies. Our analyses also identified areas for research that will have the greatest value in reducing uncertainty in future health economic evaluations of such treatments.
31757659	Liver transplantation in propionic and methylmalonic acidemia: A single center study with literature review.	BACKGROUND: Organic acidemias, especially propionic acidemia (PA) and methylmalonic acidemia (MMA), may manifest clinically within the first few hours to days of life. The classic presentation in the newborn period includes metabolic acidosis, hyperlactatemia, and hyperammonemia that is precipitated by unrestricted protein intake. Implementation of newborn screening to diagnose and initiate early treatment has facilitated a reduction in neonatal mortality and improved survival. Despite early diagnosis and appropriate management, these individuals are prone to have recurrent episodes of metabolic acidosis and hyperammonemia resulting in frequent hospitalizations. Liver transplantation (LT) has been proposed as a treatment modality to reduce metabolic decompensations which are not controlled by medical management. Published reports on the outcome of LT show heterogeneous results regarding clinical and biochemical features in the post transplantation period. As a result, we evaluated the outcomes of LT in our institution and compared it to the previously published data. STUDY DESIGN/METHODS: We performed a retrospective chart review of nine individuals with PA or MMA who underwent LT and two individuals with MMA who underwent LT and kidney transplantation (KT). Data including number of hospitalizations, laboratory measures, cardiac and neurological outcomes, dietary protein intake, and growth parameters were collected. RESULTS: The median age of transplantation for subjects with MMA was 7.2 years with a median follow up of 4.3 years. The median age of transplantation for subjects with PA was 1.9 years with a median follow up of 5.4 years. The survival rate at 1 year and 5 years post-LT was 100%. Most of our subjects did not have any episodes of hyperammonemia or pancreatitis post-LT. There was significant reduction in plasma glycine post-LT. One subject developed mild elevation in ammonia post-LT on an unrestricted protein diet, suggesting that protein restriction may be indicated even after LT. CONCLUSION: In a large single center study of LT in MMA and PA, we show that LT may reduce the incidence of metabolic decompensation. Moreover, our data suggest that LT may be associated with reduced number of hospitalizations and improved linear growth in individuals with PA and MMA.
33183246	Propionic acidemia identified in twin siblings conceived by in vitro fertilization (IVF) with parents who were unknown carriers of a PCCA mutation.	BACKGROUND: Propionic acidemia (PA) is a severe monogenic disorder characterized by a deficiency of the mitochondrial protein propionyl-CoA carboxylase (PCC) enzyme, which is caused by mutations in the PCCA or PCCB gene. Preconception carrier screening could provide couples with meaningful information for their reproductive options; however, it is not widely performed in China. CASE PRESENTATION: This report describes a case of dizygotic twin siblings conceived by in vitro fertilization (IVF) and diagnosed with propionic acidemia (PA). Their parents had no history of PA. Tandem mass spectrometry and urine gas chromatography/mass spectrometry (GC/MS) of the twin siblings revealed markedly elevated propionyl carnitine (C3), C3/C2, and 3-hydroxypropionate in the plasma and urine. Whole-exome sequencing was performed for the twin siblings. A homozygous missense mutation, c.2002G > A (p.Gly668Arg) in PCCA, was identified in the twin siblings. Sanger sequencing confirmed the homozygous mutation in the twin siblings and identified their parents as heterozygous carriers of the c.2002G > A mutation in PCCA. Both neonates in this case died. This is an emotionally and financially devastating outcome that could have been avoided with genetic carrier screening before conception. If couples are screened before IVF and found to be silent carriers, then reproductive options (such as preimplantation genetic diagnosis or prenatal diagnosis) can be offered to achieve a healthy newborn. CONCLUSION: This case is a reminder to infertile couples seeking IVF that it is beneficial to clarify whether they are silent carriers before undergoing IVF.
30037889	Metabolic cardiomyopathy from propionic acidemia precipitating cardiac arrest in a 25-year-old man.	
31715057	Liver Transplantation in Children With Propionic Acidemia: Medium-Term Outcomes.	Liver transplantation (LT) for patients with propionic acidemia (PA) is an emerging therapeutic option. We present a retrospective review of patients with PA who underwent LT at a tertiary liver center between 1995 and 2015. A total of 14 children were identified (8 males) with median age at initial presentation of 3 days (range, 0-77 days). Pretransplant median protein restriction was 1 g/kg/day (range, 0.63-1.75 g/kg/day), 71% required supportive feeding, and 86% had developmental delay. Frequent metabolic decompensations (MDs) were the main indication for LT with a median age at transplantation of 2.4 years (range, 0.8-7.1 years). Only 1 graft was from a living donor, and 13 were from deceased donors (4 auxiliary). The 2-year patient survival was 86%, and overall study and graft survival was 79% and 69%, respectively. Three patients died after LT: at 43 days (biliary peritonitis), 225 days (acute-on-chronic rejection with multiorgan failure), and 13.5 years (posttransplant lymphoproliferative disease). Plasma glycine and propionylcarnitine remained elevated but reduced after transplant. Of 11 survivors, 5 had at least 1 episode of acute cellular rejection, 2 sustained a metabolic stroke (with full recovery), and 3 developed mild cardiomyopathy after LT. All have liberalized protein intake, and 9 had no further MDs: median episodes before transplant, 4 (range, 1-30); and median episodes after transplant, 0 (range, 0-5). All survivors made some developmental progress after LT, and none worsened at a median follow-up of 5.8 years (range, 2-23 years). LT in PA significantly reduces the frequency of MDs, can liberalize protein intake and improve quality of life, and should continue to be considered in selected cases.
27653704	Methylmalonic and propionic acidemias: clinical management update.	PURPOSE OF REVIEW: Recent clinical studies and management guidelines for the treatment of the organic acidopathies methylmalonic acidemia (MMA) and propionic acidemia address the scope of interventions to maximize health and quality of life. Unfortunately, these disorders continue to cause significant morbidity and mortality due to acute and chronic systemic and end-organ injury. RECENT FINDINGS: Dietary management with medical foods has been a mainstay of therapy for decades, yet well controlled patients can manifest growth, development, cardiac, ophthalmological, renal, and neurological complications. Patients with organic acidopathies suffer metabolic brain injury that targets specific regions of the basal ganglia in a distinctive pattern, and these injuries may occur even with optimal management during metabolic stress. Liver transplantation has improved quality of life and metabolic stability, yet transplantation in this population does not entirely prevent brain injury or the development of optic neuropathy and cardiac disease. SUMMARY: Management guidelines should identify necessary screening for patients with methylmalonic acidemia and propionic acidemia, and improve anticipatory management of progressive end-organ disease. Liver transplantation improves overall metabolic control, but injury to nonregenerative tissues may not be mitigated. Continued use of medical foods in these patients requires prospective studies to demonstrate evidence of benefit in a controlled manner.
