Citation	Subject	Subject Label	Non grounded Subject	Potential MAXO	Predicate	Object	Object Label	Non grounded Object	Potential HP	Qualifier	Qualifier Label	Non grounded Qualifier	Potential MONDO	Subject Qualifier	Subject Extension	Object Extension	Count
38013338			targeted symptomatic treatment	[]	treats	hp:0001510	growth retardation		[]	mondo:0010789	mitochondrial encephalomyopathy, lactic acidosis, and stroke-like episodes (melas) syndrome		[]				1
38013338			targeted symptomatic treatment	[]	treats	hp:0001639	hypertrophic cardiomyopathy		[]	mondo:0010789	mitochondrial encephalomyopathy, lactic acidosis, and stroke-like episodes (melas) syndrome		[]				1
38013338			targeted symptomatic treatment	[]	treats	hp:0001250	epilepsy		[]	mondo:0010789	mitochondrial encephalomyopathy, lactic acidosis, and stroke-like episodes (melas) syndrome		[]				1
37698258			developing an innovative coating-free medium	[]	prevents			use of xenogenic matrigel	[]			human pluripotent stem cells (hpscs) cultivation	[('MONDO:0006249', 'HP'), ('MONDO:0008185', 'Hp')]				1
37698258			sustaining pluripotent stemness	[]	treats			loss of stem cell characteristics	[]			human pluripotent stem cells (hpscs)	[('MONDO:0006249', 'HP'), ('MONDO:0008185', 'Hp')]		pluripotent stemness		1
37698258			supporting clonal expansion	[]	treats			difficulties in expanding stem cells	[]	mondo:0010789	mitochondrial encephalomyopathy, lactic acidosis, and stroke-like episodes (melas) syndrome		[]				1
36892301			multimodal mri	[]	treats			incongruence with a vascular territory	[]	mondo:0004948	stroke-like lesions (slls)		[]				1
36892301			cerebral ct	[('MAXO:0000571', 'CT')]	treats			hypodensity	[]	mondo:0004948	stroke-like lesions (slls)		[]				1
36892301			mr-spectroscopy	[('MAXO:0009070', 'SPECT')]	treats	hp:0005550	stroke-like lesions (slls)		[]	mondo:0004948	stroke-like lesions (slls)		[]	with n-acetyl-aspartate and lactate	n-acetyl-aspartate, lactate	decreased n-acetyl-aspartate peak, increased lactate peak	1
36892301			treats	[]	treats			reduced connectivity	[]	mondo:0004948	stroke-like lesions (slls)		[]		dti		1
36892301	maxo:0009070	spect		[]	treats			hyperperfusion	[]	mondo:0004948	stroke-like lesions (slls)		[]		tc-hmpao		1
36892301			l-iomazenil spect	[('MAXO:0009070', 'SPECT')]	treats			reduced tracer uptake	[]	mondo:0004948	stroke-like lesions (slls)		[]	with l-iomazenil	l-iomazenil		1
36892301			fdg-pet	[]	treats			hypometabolism	[]	mondo:0004948	stroke-like lesions (slls)		[]	with fdg	fdg		1
36905963			genetic aberration analysis	[]	treats			mutation	[]	mondo:0005071	neurological disorders		[]		genetic aberration analysis		1
36905963			diagnose	[]	treats			neurological disorders	[]				[]				1
36905963			manage	[]	treats			neurological disorders	[]				[]				1
36905963			unravel the diagnostic and therapeutic potentials	[]	treats			neurological disorders	[]				[]				1
37474167			long-term psychodynamic/psychoanalytic psychotherapy	[('MAXO:0000077', 'psychotherapy')]	treats			symptom reduction	[]			complex mental disorders	[('MONDO:0002025', 'mental disorder'), ('MONDO:0005084', 'mental disorder')]		psychodynamic/psychoanalytic psychotherapy		1
37474167			symptom reduction	[]	treats			complex mental disorders	[]				[]	low-intensity	low-intensity ltpp		1
37474167			high-intensity ltpp	[]	treats			symptom reduction	[]			complex mental disorders	[('MONDO:0002025', 'mental disorder'), ('MONDO:0005084', 'mental disorder')]	high intensity	ltpp		1
38146643			mri	[]	treats	hp:0001298	encephalopathy		[]	mondo:0020640	autoimmune encephalitis		[]				1
38146643			mri	[]	treats			restricted diffusion in the cortex	[]			autoimmune encephalitis	[('MONDO:0008757', 'autoimmune encephalitis'), ('MONDO:0800198', 'autoimmune encephalitis')]				1
38146643			mri	[]	treats			facilitated diffusion in the underlying white matter	[]	mondo:0020640	autoimmune encephalitis		[]				1
37208962			long-term ketogenic diet therapy	[('MAXO:0000088', 'diet'), ('MAXO:0001298', 'therapy')]	treats			lactic acidosis	[('HP:0001941', 'Lactic acidosis'), ('HP:0003128', 'Acidosis')]	mondo:0010789	mitochondrial encephalomyopathy, lactic acidosis, and stroke-like episodes (melas) syndrome		[]	long-term	ketogenic diet	lactic acidosis	1
37208962			long-term ketogenic diet therapy	[('MAXO:0000088', 'diet'), ('MAXO:0001298', 'therapy')]	treats	hp:0002401	stroke-like episodes		[]	mondo:0010789	mitochondrial encephalomyopathy, lactic acidosis, and stroke-like episodes (melas) syndrome		[]	long-term	ketogenic diet therapy		1
