Citation	Subject	Subject Label	Predicate	Object	Object Label	Qualifier	Subject Qualifier	Subject Extension	Object Extension	Count
10587981	MAXO:0001001	Gene therapy	TREATS	HP:0002664	cancer	MONDO:0004992				2
9806008	MAXO:0001001	Gene therapy	TREATS	HP:0002664	cancer	MONDO:0004992				2
17721875	MAXO:0001001	Gene therapy	TREATS	adenosine deaminase deficiency		MONDO:0007064				2
9806008	MAXO:0001001	Gene therapy	TREATS	adenosine deaminase deficiency		MONDO:0007064				2
11060694	MAXO:0001001	Gene therapy	TREATS	HP:0004430	severe combined immunodeficiency	MONDO:0007064		gene therapy		2
27267267	MAXO:0001001	Gene therapy	TREATS	HP:0004430	severe combined immunodeficiency	MONDO:0007064		gene therapy		2
12901330	MAXO:0001001	Gene therapy	TREATS	primary immunodeficiencies						2
11434885	MAXO:0001001	Gene therapy	TREATS	primary immunodeficiencies						2
22447032	Treatment with high-dose intravenous corticosteroids		TREATS	inflammatory lesions in the brain and spinal cord		MONDO:0019383	high-dose intravenous	CHEBI:50858		2
18691744	generation of induced pluripotent stem (iPS) cells		TREATS	adenosine deaminase deficiency-related severe combined immunodeficiency (ADA-SCID)						1
18691744	generation of induced pluripotent stem (iPS) cells		TREATS	Shwachman-Bodian-Diamond syndrome (SBDS)				CHEBI:17660		1
18691744	generation of induced pluripotent stem (iPS) cells		TREATS	Gaucher disease (GD) type III				CHEBI:17660		1
18691744	generation of induced pluripotent stem (iPS) cells		TREATS	Duchenne (DMD) and Becker muscular dystrophy (BMD)				CHEBI:17660		1
18691744	generation of induced pluripotent stem (iPS) cells		TREATS	Parkinson disease (PD)				CHEBI:17660		1
18691744	generation of induced pluripotent stem (iPS) cells		TREATS	Huntington disease (HD)				CHEBI:17660		1
18691744	generation of		TREATS	juvenile-onset, type 1 diabetes mellitus (JDM)				CHEBI:17660		1
18691744	generation of induced pluripotent stem (iPS) cells		TREATS	Down syndrome (DS)/trisomy 21				CHEBI:17660		1
18691744	generation of induced pluripotent stem (iPS) cells		TREATS	Lesch-Nyhan syndrome		MONDO:0010298		CHEBI:17660		1
10774451	MAXO:0001001	Gene therapy	TREATS	adenosine deaminase deficiency						1
10774451	umbilical cord blood HSC transduction		TREATS	adenosine deaminase deficiency			with murine retroviral-based vectors			1
10774451	neonatal bone marrow HSC transduction		TREATS	adenosine deaminase deficiency			with murine retroviral-based vectors	murine retroviral-based vectors		1
10774451	HSC engraftment		TREATS	adenosine deaminase deficiency						1
30014500	Treatment		TREATS	HP:0004430	Severe combined immunodeficiency	Adenosine Deaminase Deficiency With HCV		CHEBI:85082		1
30014500	MAXO:0001001	gene therapy	TREATS	HP:0004430	Severe combined immunodeficiency	Adenosine Deaminase Deficiency With HCV		Strimvelis		1
18221464	bone marrow/stem cell transplantation		TREATS	HP:0001508	failure to thrive	MONDO:0015974				1
18221464	bone marrow/stem cell transplantation		TREATS	HP:0002719	recurrent infections	MONDO:0015974		bone marrow/stem cell transplantation		1
27129325	transplant		TREATS	HP:0004430	Severe combined immunodeficiency	MONDO:0007064		Hematopoietic stem cell		1
27129325	Enzyme replacement therapy		TREATS	HP:0002721	Immune deficiency	MONDO:0007064	partially	Enzyme replacement therapy		1
27129325	MAXO:0001001	gene therapy	TREATS	HP:0002721	Immune deficiency	MONDO:0007064	with GSK2696273	GSK2696273	severe	1
27129325	Normalization of T-cell subsets		TREATS	HP:0002721	Immune deficiency	MONDO:0007064				1
27129325	Immunoglobulin production		TREATS	HP:0002721	Immune deficiency	MONDO:0007064		Immunoglobulin production		1
27129325	Decreased intravenous immunoglobulin use		TREATS	immunodeficiency		Adenosine deaminase deficiency	Decreased	intravenous immunoglobulin		1
27129325	Antibody response after vaccination		PREVENTS	infections		MONDO:0007064		vaccination		1
28895850	Transfer of gene-corrected autologous hematopoietic stem cells		TREATS	Primary Immunodeficiencies						1
28895850	Use of safer viral vectors		PREVENTS	Occurrence of malignancies		Primary Immunodeficiencies		safer viral vectors		1
27750026	Gene therapy with Hematopoietic Stem Cells		TREATS	inherited diseases		Gene Therapy with Hematopoietic Stem Cells related diseases		Gene transfer	Hematopoietic Stem Cells	1
10908569	low-dose enzyme therapy		TREATS	severe pulmonary insufficiency		MONDO:0007064	low-dose	enzyme therapy		1
