citation	maxo_id	maxo_label	hpo_id	maxo_relation	disease_id	disease_name
25405392	MAXO:0000187	beta-adrenergic antagonist agent therapy	HP:0002616	PREVENTS	MONDO:0007947	Marfan Syndrome
27192671	MAXO:0000286	androgen modifying agent therapy	MONDO:0013521	TREATS	MONDO:0013521	Dyskeratosis Congenita, Autosomal Dominant 2
27192671	MAXO:0000286	androgen modifying agent therapy	MONDO:0013878	TREATS	MONDO:0013878	Pulmonary Fibrosis And/or Bone Marrow Failure, Telomere-related, 1
20140965	MAXO:0000004	surgical procedure	HP:0010628	TREATS	MONDO:0007765	Hyperostosis Cranialis Interna
29716835	MAXO:0000933	enzyme replacement or supplementation therapy	MONDO:0009561	TREATS	MONDO:0009561	Mannosidosis, Alpha B, Lysosomal
7895015	MAXO:0000167	anticonvulsant agent therapy	HP:0001250	TREATS	MONDO:0010899	Epilepsy, Nocturnal Frontal Lobe, 1
7895015	MAXO:0000942	vagus nerve stimulation	HP:0001250	TREATS	MONDO:0010899	Epilepsy, Nocturnal Frontal Lobe, 1
32337771	MAXO:0010012	coenzyme Q10 supplementation	MONDO:0012784	TREATS	MONDO:0012784	Coenzyme Q10 Deficiency, Primary, 4
32792226	MAXO:0000933	enzyme replacement or supplementation therapy	MONDO:0009591	TREATS	MONDO:0009591	Metachromatic Leukodystrophy
19067349	MAXO:0010033	umbilical cord blood transplantation	MONDO:0009591	TREATS	MONDO:0009591	Metachromatic Leukodystrophy
24645144	MAXO:0001131	pyridoxine supplementation	HP:0001250	TREATS	MONDO:0012407	Pyridoxamine 5-prime-phosphate Oxidase Deficiency
12555938	MAXO:0030010	ketogenic diet intake	HP:0001250	TREATS	MONDO:0011724	Glut1 Deficiency Syndrome 1
15622525	MAXO:0030010	ketogenic diet intake	HP:0001250	TREATS	MONDO:0011724	Glut1 Deficiency Syndrome 1
27501770	MAXO:0000751	clinical surveilance	MONDO:0007903	PREVENTS	MONDO:0007903	Li-fraumeni Syndrome
24081735	MAXO:0010115	dietary calcium avoidance	HP:0003072	TREATS	MONDO:0010926	Hypocalciuric Hypercalcemia, Familial, Type Iii
32389449	MAXO:0030010	ketogenic diet intake	HP:0001250	TREATS	MONDO:0010998	Congenital Disorder Of Glycosylation, Type Id
