Citation	maxo_id	maxo_label	Subject	Predicate	disease_id	disease_name	mondo_relationship	hpo_id	hpo_label	hpo_relationship	Object
11316696	MAXO:0000780	growth hormone therapy		TREATS	MONDO:0018997, , MONDO:0019499	Noonan syndrome, , Turner syndrome	TREATS, , PROMOTES GROWTH IN	, HP:0004322, 	, short stature, 	, IS USED TO TREAT, 	
11435464			Mutational screening	IS USED TO DIAGNOSE	MONDO:0018940, 	Congenital myasthenic syndromes, 	IS USED TO DIAGNOSE, 	, 	, 	, 	
12499475			screening for mutations in GDAP1	IS USED TO DIAGNOSE	MONDO:0008961, , 	autosomal recessive demyelinating Charcot-Marie-Tooth disease type 4A, , 	IS USED TO DIAGNOSE, , 	, , 	, , 	, , 	
12512044			measurement of bile acids by mass spectrometry	IS USED TO DIAGNOSE	MONDO:0005154, , 	Liver disease, , 	IS USED TO DIAGNOSE, , 	, , 	, , 	, , 	
12555938			ketogenic diet	TREATS	MONDO:0019169, MONDO:0000188, , MONDO:0005027	Pyruvate dehydrogenase complex deficiency, GLUT1 deficiency syndrome, , seizures	TREATS, TREATS, , IS USED TO PREVENT	, , , 	, , , 	, , , 	
12555938	MAXO:0000098	Fasting		IS USED TO INDUCE				HP:0001946	Ketosis	IS USED TO INDUCE	
14769599			Intravitreal injection of triamcinolone acetonide	TREATS	, , 	, , 	, , 	, , 	, , 	, , 	Exudative age-related macular degeneration
15184617			Measurement of beta-oxidation enzymes	EXCLUDES	MONDO:0019234, MONDO:0019234, MONDO:0019234	Peroxisome biogenesis disorder, Peroxisome biogenesis disorder, Peroxisome biogenesis disorder	EXCLUDES, IS USED TO DIAGNOSE, CONFIRMS	, , 	, , 	, , 	
15474813			Primary viscocanalostomy	TREATS							Primary open-angle glaucoma
15474813	MAXO:0001082	Trabeculectomy		TREATS	, , MONDO:0005129, 	, , Cataract, 	, , CAUSES, 	, , , 	, , , 	, , , 	Primary open-angle glaucoma
15622525			ketogenic diet	TREATS	MONDO:0011724, 	Glut-1 deficiency syndrome, 	TREATS, 	, 	, 	, 	
15956085			genotyping of PTPN11	IS USED TO DIAGNOSE	MONDO:0018997	Noonan syndrome	IS USED TO DIAGNOSE				
15956085	MAXO:0000780	growth hormone therapy		TREATS	MONDO:0018997, 	Noonan syndrome, 	TREATS, 	, HP:0004322	, short stature	, IS USED TO TREAT	
17018651			Growth hormone treatment	TREATS	MONDO:0009061, MONDO:0009061, , 	cystic fibrosis, cystic fibrosis, , 	TREATS, TREATS, , 	, , , 	, , , 	, , , 	
17200494			Endurance training	TREATS	MONDO:0011787, MONDO:0011787	Limb-girdle muscular dystrophy type 2I (LGMD2I), Limb-girdle muscular dystrophy type 2I (LGMD2I)	TREATS, TREATS	, 	, 	, 	
19067349			Neuroimaging	IS USED TO DIAGNOSE	, , , 	, , , 	, , , 	, , , 	, , , 	, , , 	juvenile metachromatic leukodystrophy
19067349	MAXO:0010033	Umbilical cord blood transplantation		TREATS	, MONDO:0018868	, metachromatic leukodystrophy	, TREATS	, 	, 	, 	juvenile metachromatic leukodystrophy
19067349	MAXO:0035059	Nerve conduction studies		IS USED TO DIAGNOSE							juvenile metachromatic leukodystrophy
20091517			Low-phenylalanine diet	TREATS	MONDO:0009861	Phenylketonuria	TREATS				
20091517	MAXO:0000088	Dietary interventions		TREATS	MONDO:0009861, 	Phenylketonuria, 	TREATS, 	, 	, 	, 	
20140965			Surgical decompression	TREATS	MONDO:0007765, , 	Hyperostosis cranialis interna, , 	TREATS, , 	, , 	, , 	, , 	
21067383			transfusion of autologous, genetically modified hematopoietic stem cells	TREATS	MONDO:0010518, MONDO:0002049, , , , 	Wiskott-Aldrich syndrome, Thrombocytopenia, , , , 	TREATS, TREATS, , , , 	, , HP:0001892, HP:0000964, HP:0002960, 	, , hemorrhagic diathesis, eczema, autoimmunity, 	, , IS USED TO TREAT, IS USED TO TREAT, IS USED TO TREAT, 	
21220679			Bilateral deep brain stimulation of the internal pallidum	TREATS	, , 	, , 	, , 	, HP:0001336, HP:0001332	, Myoclonus, Dystonia	, REDUCES, REDUCES	Myoclonus-dystonia due to SGCE-M-D deficiency
21816832			nonmyeloablative HSCT	TREATS	MONDO:0042982, MONDO:0042982, MONDO:0042982, MONDO:0013730	GATA2 deficiency, GATA2 deficiency, GATA2 deficiency, GVHD	TREATS, IS USED TO TREAT, IS USED TO TREAT, IS USED TO MANAGE	, , , 	, , , 	, , , 	
21825253			pallidal deep brain stimulation	TREATS	MONDO:0000903, 	myoclonus-dystonia, 	TREATS, 	, 	, 	, 	
21907011			Genome-wide analysis	IS USED TO STUDY	, , 	, , 	, , 	, , 	, , 	, , 	Familial Parkinson disease
24081735			Identification of AP2S1 mutation	TREATS	MONDO:0010926, MONDO:0001566, , MONDO:0001566, 	familial hypocalciuric hypercalcemia type 3 (FHH3), hypercalcemia, , hypercalcemia, 	TREATS, TREATS, , TREATS, 	, , , , HP:0001508	, , , , poor weight gain	, , , , IS USED TO TREAT	
24253200			exome and Sanger sequencing	IS USED TO DIAGNOSE	MONDO:0008891, MONDO:0008891, , , MONDO:0005365, MONDO:0003608	Brown-Vialetto-Van Laere syndrome, Brown-Vialetto-Van Laere syndrome, , , hearing loss, optic atrophy	IS USED TO DIAGNOSE, TREATS, , , AMELIORATES, AMELIORATES	, , , , , 	, , , , , 	, , , , , 	
24645144			treatment with pyridoxine	TREATS	, , , MONDO:0005027, MONDO:0100062, , 	, , , seizures, infantile spasms, , 	, , , TREATS, TREATS, , 	, , , , , , 	, , , , , , 	, , , , , , 	neonatal onset seizures
25203083			daily oral prophylactic penicillin	TREATS	MONDO:0011382, MONDO:0011382, MONDO:0011382, MONDO:0005380, , , MONDO:0011382, , MONDO:0011382, MONDO:0800385, 	sickle cell disease, sickle cell disease, sickle cell disease, avascular necrosis, , , sickle cell disease, , sickle cell disease, iron overload, 	TREATS, IS USED TO DIAGNOSE, TREATS, TREATS, , , TREATS, , IS USED TO DIAGNOSE, TREATS, 	, , , , , , , , , , 	, , , , , , , , , , 	, , , , , , , , , , 	
