Citation	Subject	Predicate	Object
9389690	T-cell depletion: 	IS USED TO MINIMIZE	graft rejection: 
11316696	MAXO:0000780: growth hormone therapy	TREATS	MONDO:0018997: Noonan syndrome
15956085	MAXO:0000780: growth hormone therapy	TREATS	MONDO:0018997: Noonan syndrome
11316696	MAXO:0000780: growth hormone therapy	IS USED TO TREAT	HP:0004322: short stature
15956085	MAXO:0000780: growth hormone therapy	IS USED TO TREAT	HP:0004322: short stature
9543069	allogeneic BMT: 	TREATS	MONDO:0009662: <MPS VII (Sly disease)
30691927	Ganglioside restitution therapies: 	TARGETS	Recessive GM3 synthase deficiency: 
15474813	Primary viscocanalostomy: 	TREATS	Primary open-angle glaucoma: 
15474813	MAXO:0001082: Trabeculectomy	TREATS	Primary open-angle glaucoma: 
15474813	MAXO:0001082: Trabeculectomy	CAUSES	Postoperative hypotony: 
15474813	MAXO:0001082: Trabeculectomy	CAUSES	MONDO:0005129: Cataract
15474813	MAXO:0001082: Trabeculectomy	REDUCES	High intraocular pressure: 
26060304	MAXO:0000943: Deep brain stimulation	TREATS	Progressive Movement Disorder: 
32337771	coenzyme Q10 treatment: 	TREATS	COQ8A-ataxia: 
32337771	genotype-phenotype correlations: 	STUDY	COQ8A-ataxia: 
32337771	3D-protein modeling: 	STUDY	COQ8A-ataxia: 
32337771	in vitro mutation analyses: 	STUDY	COQ8A-ataxia: 
32337771	magnetic resonance imaging (MRI): 	IS USED TO DIAGNOSE	cerebellar atrophy: 
32337771	disease progression analysis: 	STUDY	COQ8A-ataxia: 
25292408	MAXO:0000603: Peritoneal Dialysis	TREATS	MONDO:0004691: <Autosomal dominant polycystic kidney disease (ADPKD)
25292408	Inclusion in the transplant waiting list: 	IS USED FOR	MONDO:0004691: <Autosomal dominant polycystic kidney disease (ADPKD)
25405392	Losartan treatment: 	TREATS	MONDO:0007947: Marfan's syndrome
25405392	Atenolol treatment: 	TREATS	MONDO:0007947: Marfan's syndrome
25405392	Randomized trial: 	CONDUCTED FOR	MONDO:0007947: Marfan's syndrome
25405392	Measure aortic-root diameter: 	IS USED TO ASSESS	MONDO:0007947: Marfan's syndrome
25405392	Assess somatic growth: 	IS USED TO MONITOR	MONDO:0007947: Marfan's syndrome
25405392	Evaluate incidence of adverse events: 	IS USED TO MONITOR	MONDO:0007947: Marfan's syndrome
25405392	Losartan treatment: 	USED FOR	Aortic-root dissection: 
25405392	Atenolol treatment: 	USED FOR	Aortic-root dissection: 
25405392	Measure body-surface area: 	IS USED TO ASSESS	Aortic-root dissection: 
25405392	Measure aortic-root diameter: 	IS USED TO DIAGNOSE	Aortic-root enlargement: 
12499475	screening for mutations in GDAP1: 	IS USED TO DIAGNOSE	MONDO:0008961: autosomal recessive demyelinating Charcot-Marie-Tooth disease type 4A
12499475	screening for mutations in GDAP1: 	IS USED TO DIAGNOSE	AR axonal CMT: 
12499475	screening for mutations in GDAP1: 	IS USED TO DIAGNOSE	vocal cord paralysis: 
8319716	Peritoneal dialysis COMBINED WITH Oral supplementation of biotin: 	TREATS	MONDO:0009666: Holocarboxylase synthetase deficiency
8319716	Oral supplementation of biotin: 	TREATS	MONDO:0000440: Metabolic acidosis
8319716	Oral supplementation of biotin: 	TREATS	Lactic acidaemia: 
8319716	Oral supplementation of biotin: 	TREATS	Hyperammonaemia: 
8319716	Oral supplementation of biotin: 	TREATS	MONDO:0015454: Multiple carboxylase deficiency
8319716	Biochemical evaluation of biotin dose: 	IS USED TO TREAT	Increased urinary excretion of 3-hydroxyisovaleric acid: 
8319716	Biochemical evaluation of biotin dose: 	IS USED TO TREAT	3-methylcrotonylglycine: 
8319716	Biochemical evaluation of biotin dose: 	IS USED TO TREAT	3-hydroxpropionic acid: 
8319716	Biochemical evaluation of biotin dose: 	IS USED TO TREAT	methylcitric acid: 
36992422	autologous hematopoietic stem-cell transplant with gene therapy (HSCT-GT): 	TREATS	beta-hemoglobinopathies: 
36992422	autologous hematopoietic stem-cell transplant with gene therapy (HSCT-GT): 	TREATS	MONDO:0011382: sickle cell disease
36992422	autologous hematopoietic stem-cell transplant with gene therapy (HSCT-GT): 	TREATS	MONDO:0013517: beta-thalassemia
36992422	allogeneic HSCT: 	TREATS	MONDO:0011382: sickle cell disease
36992422	allogeneic HSCT: 	TREATS	MONDO:0013517: beta-thalassemia
9389690	MAXO:0010030: bone marrow transplantation	TREATS	MONDO:0009974: familial hemophagocytic lymphohistiocytosis
9389690	infusion of antiadhesion antibodies: 	IS USED TO MINIMIZE	graft rejection: 
9389690	conditioning regimen of busulfan, cyclophosphamide, and etoposide; antithymocyte globulin: 	IS USED TO PREPARE	bone marrow transplantation: 
9389690	use of drugs for disease remission: 	IS USED TO TREAT	MONDO:0009974: familial hemophagocytic lymphohistiocytosis
24645144	treatment with pyridoxine: 	TREATS	neonatal onset seizures: 
24645144	pyridoxal 5'-phosphate: 	TREATS	neonatal onset seizures: 
24645144	Sequencing of the PNPO gene: 	IS USED TO DIAGNOSE	Epilepsy due to PNPO mutations: 
24645144	pyridoxine: 	TREATS	MONDO:0005027: seizures
24645144	pyridoxal 5'-phosphate: 	TREATS	MONDO:0100062: infantile spasms
24645144	mass spectrometry-based assay for pyridoxamine phosphate oxidase: 	IS USED TO DIAGNOSE	Epilepsy due to PNPO mutations: 
24645144	treatment with pyridoxine: 	IS USED TO MANAGE	reduction in frequency and severity of seizures: 
24253200	exome and Sanger sequencing: 	IS USED TO DIAGNOSE	MONDO:0008891: Brown-Vialetto-Van Laere syndrome
24253200	high-dose oral riboflavin therapy: 	TREATS	MONDO:0008891: Brown-Vialetto-Van Laere syndrome
24253200	high-dose oral riboflavin therapy: 	AMELIORATES	rapidly progressive axonal sensorimotor neuropathy: 
24253200	high-dose oral riboflavin therapy: 	AMELIORATES	respiratory insufficiency: 
24253200	high-dose oral riboflavin therapy: 	AMELIORATES	MONDO:0005365: hearing loss
