citation	maxo_id	maxo_label	hpo_id	maxo_relation	disease_id	disease_name
20301537	MAXO:0000088	dietary intervention	HP:0000819	TREATS	MONDO:0008854	Bardet-biedl Syndrome 1
20301537	MAXO:0000011	physical therapy	HP:0002141	TREATS	MONDO:0008854	Bardet-biedl Syndrome 1
20301537	MAXO:0000930	speech therapy	HP:0000750	TREATS	MONDO:0008854	Bardet-biedl Syndrome 1
20301537	MAXO:0000088	dietary intervention	HP:0001513	TREATS	MONDO:0008854	Bardet-biedl Syndrome 1
20301675	MAXO:0000004	surgical procedure	HP:0030010	TREATS	MONDO:0009367	Mckusick-kaufman Syndrome
20301556	MAXO:0000011	physical therapy	HP:0002355	PREVENTS	MONDO:0010156	Spastic Paraplegia 20, Autosomal Recessive
20301537	MAXO:0000088	dietary intervention	HP:0001513	TREATS	MONDO:0014432	Bardet-biedl Syndrome 2
20301537	MAXO:0000088	dietary intervention	HP:0000819	TREATS	MONDO:0014432	Bardet-biedl Syndrome 2
20301537	MAXO:0000088	dietary intervention	HP:0001513	TREATS	MONDO:0010832	Bardet-biedl Syndrome 3
20301537	MAXO:0000088	dietary intervention	HP:0001513	TREATS	MONDO:0014433	Bardet-biedl Syndrome 4
20301537	MAXO:0000088	dietary intervention	HP:0001513	TREATS	MONDO:0011523	Bardet-biedl Syndrome 6
20301537	MAXO:0000088	dietary intervention	HP:0001513	TREATS	MONDO:0014435	Bardet-biedl Syndrome 7
20301537	MAXO:0000088	dietary intervention	HP:0001513	TREATS	MONDO:0014436	Bardet-biedl Syndrome 8
20301537	MAXO:0000088	dietary intervention	HP:0001513	TREATS	MONDO:0014437	Bardet-biedl Syndrome 9
20301537	MAXO:0000930	speech therapy	HP:0000750	TREATS	MONDO:0014437	Bardet-biedl Syndrome 9
20301537	MAXO:0000088	dietary intervention	HP:0001513	TREATS	MONDO:0014438	Bardet-biedl Syndrome 10
20301537	MAXO:0000088	dietary intervention	HP:0001513	TREATS	MONDO:0014439	Bardet-biedl Syndrome 11
20301537	MAXO:0000088	dietary intervention	HP:0001513	TREATS	MONDO:0014440	Bardet-biedl Syndrome 12
20301537	MAXO:0000088	dietary intervention	HP:0001513	TREATS	MONDO:0014441	Bardet-biedl Syndrome 13
20301537	MAXO:0000088	dietary intervention	HP:0001513	TREATS	MONDO:0044308	Bardet-biedl Syndrome 21
20301537	MAXO:0000930	speech therapy	HP:0000750	TREATS	MONDO:0044308	Bardet-biedl Syndrome 21
20301537	MAXO:0000088	dietary intervention	HP:0001513	TREATS	MONDO:0014442	Bardet-biedl Syndrome 14
8498830	MAXO:0000011	physical therapy	HP:0001251	TREATS	MONDO:0010533	Arts Syndrome
20301537	MAXO:0000088	dietary intervention	HP:0001513	TREATS	MONDO:0014444	Bardet-biedl Syndrome 16
20301556	MAXO:0000011	physical therapy	HP:0007340	PREVENTS	MONDO:0010156	Spastic Paraplegia 20, Autosomal Recessive
20301556	MAXO:0000011	physical therapy	HP:0002061	PREVENTS	MONDO:0010156	Spastic Paraplegia 20, Autosomal Recessive
20301556	MAXO:0000011	physical therapy	HP:0006986	PREVENTS	MONDO:0010156	Spastic Paraplegia 20, Autosomal Recessive
20301556	MAXO:0000930	speech therapy	HP:0001260	TREATS	MONDO:0010156	Spastic Paraplegia 20, Autosomal Recessive
20301556	MAXO:0000324	skeletal muscle relaxant agent therapy	HP:0002061	TREATS	MONDO:0010156	Spastic Paraplegia 20, Autosomal Recessive
20301556	MAXO:0000324	skeletal muscle relaxant agent therapy	HP:0006986	TREATS	MONDO:0010156	Spastic Paraplegia 20, Autosomal Recessive
20301687	MAXO:0000189	dyslipidemic agent therapy	HP:0005177	TREATS	MONDO:0010196	Werner Syndrome
20301687	MAXO:0000572	hypoglycemic agent therapy	HP:0000819	TREATS	MONDO:0010196	Werner Syndrome
20301687	MAXO:0000287	estrogen modifying agent therapy	HP:0000939	TREATS	MONDO:0010196	Werner Syndrome
20301687	MAXO:0000283	hormone modifying therapy	HP:0000939	TREATS	MONDO:0010196	Werner Syndrome
20301687	MAXO:0000110	vitamin D supplementation	HP:0000939	PREVENTS	MONDO:0010196	Werner Syndrome
20301687	MAXO:0001139	calcium supplementation	HP:0000939	PREVENTS	MONDO:0010196	Werner Syndrome
31169992	MAXO:0000930	speech therapy	HP:0001263	TREATS	MONDO:0013252	Warsaw Breakage Syndrome
31169992	MAXO:0000011	physical therapy	HP:0001263	TREATS	MONDO:0013252	Warsaw Breakage Syndrome
20301380	MAXO:0000448	surgical resection	HP:0009592	TREATS	MONDO:0007039	Neurofibromatosis, Type Ii
20301380	MAXO:0000448	surgical resection	HP:0009590	TREATS	MONDO:0007039	Neurofibromatosis, Type Ii
20301380	MAXO:0000448	surgical resection	HP:0002888	TREATS	MONDO:0007039	Neurofibromatosis, Type Ii
20301380	MAXO:0000448	surgical resection	HP:0009593	TREATS	MONDO:0007039	Neurofibromatosis, Type Ii
20301380	MAXO:0000448	surgical resection	HP:0009589	TREATS	MONDO:0007039	Neurofibromatosis, Type Ii
20301368	MAXO:0000004	surgical procedure	HP:0000175	TREATS	MONDO:0007042	Saethre-chotzen Syndrome
20301450	MAXO:0001135	fat soluble vitamin supplementation	HP:0001508	TREATS	MONDO:0016862	Alagille Syndrome 1
20301450	MAXO:0001175	liver transplantation	HP:0001399	TREATS	MONDO:0016862	Alagille Syndrome 1
28406602	MAXO:0000011	physical therapy	HP:0001376	TREATS	MONDO:0007688	Myhre Syndrome
28406602	MAXO:0000011	physical therapy	HP:0001387	TREATS	MONDO:0007688	Myhre Syndrome
28406602	MAXO:0000066	supplemental oxygen therapy	HP:0002093	TREATS	MONDO:0007688	Myhre Syndrome
28406602	MAXO:0000504	tracheostomy	HP:0004894	TREATS	MONDO:0007688	Myhre Syndrome
20301379	MAXO:0000159	analgesic therapy	HP:0000972	TREATS	MONDO:0007510	Clouston Syndrome
31169992	MAXO:0009030	hearing aid usage	HP:0000365	TREATS	MONDO:0013252	Warsaw Breakage Syndrome
31169992	MAXO:0009025	cochlear device implantation	HP:0000365	TREATS	MONDO:0013252	Warsaw Breakage Syndrome
31169992	MAXO:0009031	auditory rehabilitation	HP:0000365	TREATS	MONDO:0013252	Warsaw Breakage Syndrome
31169992	MAXO:0009029	hearing therapy	HP:0000365	TREATS	MONDO:0013252	Warsaw Breakage Syndrome
31169992	MAXO:0000930	speech therapy	HP:0000365	TREATS	MONDO:0013252	Warsaw Breakage Syndrome
20301685	MAXO:0001224	copper chelator agent therapy	HP:0010838	TREATS	MONDO:0010200	Wilson Disease
20301685	MAXO:0001224	copper chelator agent therapy	MONDO:0010200	TREATS	MONDO:0010200	Wilson Disease
20301685	MAXO:0000112	food antioxidant supplementation	MONDO:0010200	TREATS	MONDO:0010200	Wilson Disease
20301687	MAXO:0009043	cataract extraction with intraocular lens insertion	HP:0000518	TREATS	MONDO:0010196	Werner Syndrome
20301556	MAXO:0009015	botulinum toxin therapy	HP:0000012	TREATS	MONDO:0010156	Spastic Paraplegia 20, Autosomal Recessive
20301556	MAXO:0009015	botulinum toxin therapy	HP:0002061	TREATS	MONDO:0010156	Spastic Paraplegia 20, Autosomal Recessive
