PMID	Title	Abstract
33402502	ATM Expression as a Prognostic Marker in Patients With Advanced Biliary Tract Cancer Treated With First-line Gemcitabine and Platinum Chemotherapy.	BACKGROUND/AIM: Biliary tract cancer (BTC) has a poor prognosis due to its highly invasive and metastatic potential. Ataxia-telangiectasia mutated (ATM) is a key regulator of DNA damage response and an emerging therapeutic target; however, the association between the expression of ATM and the prognosis in advanced BTC is unknown. We aimed to identify the relationship between ATM expression, clinicopathological characteristics, and survival outcomes in patients with advanced BTC. PATIENTS AND METHODS: We analyzed 113 patients with advanced BTC who received first-line gemcitabine and platinum. RESULTS: The tumor location was intrahepatic cholangiocarcinoma (IH-CCC) in 43 patients, extrahepatic cholangiocarcinoma (EH-CCC) in 49, and gallbladder (GB) cancer in 21 patients. Fifty-four patients (47.8%) exhibited loss of ATM protein expression. The overall response rate (ORR) of ATM loss and intact ATM was 13.3% and 19.6%, respectively. In a subgroup analysis, EH-CCC patients with ATM loss tended to have improved PFS after platinum-based chemotherapy compared to those with intact ATM (7.9 vs. 6.2 months, respectively; p=0.050). CONCLUSION: We demonstrated that ATM loss could be a prognostic marker after platinum-based chemotherapy in patients with advanced EH-CCC.
39327359	The Latest Developments for the Treatment of Ataxia Telangiectasia: A Narrative Review.	Ataxia telangiectasia (AT), Louis-Bar syndrome, is a rare neurodegenerative disorder caused by autosomal recessive biallelic mutations within the ataxia telangiectasia mutated (ATM) gene. Currently, there are no curative therapies available for this disorder. This review provides an overview of the latest advances in treatment methods including 1- Acetyl-DL-leucine, 2- Bone Marrow Transplantation, 3- Gene Therapy, 4- Dexamethasone, and finally 5- Red Blood Cells (RBCs) as a carrier for dexamethasone (encapsulation of dexamethasone sodium phosphate into autologous erythrocytes, known as EryDex). Most of the treatments under investigation are in the early stages, except for the EryDex System. It appears that the EryDex system and N-Acetyl-DL-Leucine may hold promise as potential treatment options.
38109457	Anesthetic Chalenges And Managment In Patient With Ataxia- Telangiectasia.	Louis-Bar Syndrome is a synonym for a very rare complex neurodegenerative disorder ataxia-telangiectasia (A-T). This is an autosomal recessive inherited disease that encompasses abnormalities in the cerebellum, multisystem degeneration, immunodeficiency, increased risk for malignancy and consecutive respiratory insufficiency. Most of the patients are radiosensitive and any exposing to ionization may lead to progression of the disease. Potential risks from anesthesia, mechanical ventilation, and postoperative complications in these patients have been insufficiently discussed in the literature. We present a successful anesthetic and respiratory management with one-lung ventilation in a patient with Louis-Bar Syndrome who underwent video assisted thoracoscopy (VATS) for recurrent pleural effusion.
32815118	Altered Cerebrospinal Fluid (CSF) in Children with Ataxia Telangiectasia.	Ataxia telangiectasia (A-T) is a devastating multi-system disorder characterized by progressive cerebellar ataxia and immunodeficiency. The neurological decline may be caused by multiple factors of which ongoing inflammation and oxidative stress may play a dominant role. The objective of the present investigation was to determine cerebrospinal fluid (CSF) proteins and possible low-grade inflammation and its relation to age and neurological deterioration. In the present study, we investigated 15 patients with A-T from 2 to 16 years. Our investigation included blood and CSF tests, clinical neurological examination, A-T score, and MRI findings. The albumin ratio (AR) was analyzed to determine the blood-brain-barrier function. In addition, inflammatory cytokines (IL-1alpha, IL-6, IL-8, IL-12 p40, IL-17A, IFN-gamma, TNF-alpha) were measured by the multiplex cytometric bead array. We compared the results with those from an age-matched control group. Three of the A-T patients were analyzed separately (one after resection of a cerebral meningioma, one after radiation and chemotherapy due to leukemia, one after stem cell transplantation). Patient had significantly more moderate and severe side effects due to CSF puncture (vomiting, headache, need for anti-emetic drugs) compared with healthy controls. Total protein, albumin, and the AR increased with age indicating a disturbed blood barrier function in older children. There were no differences for cytokines in serum and CSF with the exception of IL-2, which was significantly higher in controls in serum. The AR is significantly altered in A-T patients, but low-grade inflammation is not detectable in serum and CSF.
34040175	Phase 1 study of the ATR inhibitor berzosertib (formerly M6620, VX-970) combined with gemcitabine +- cisplatin in patients with advanced solid tumours.	BACKGROUND: Berzosertib (formerly M6620, VX-970) is a highly potent and selective, first-in-class inhibitor of ataxia telangiectasia and Rad3-related protein kinase (ATR). We assessed multiple ascending doses of berzosertib + gemcitabine +- cisplatin in patients with resistant/refractory advanced solid tumours. METHODS: We evaluated the safety, tolerability, pharmacokinetics (PK) and preliminary efficacy of intravenous berzosertib + gemcitabine +- cisplatin using a standard 3 + 3 dose-escalation design. The starting doses were berzosertib 18 mg/m2, gemcitabine 875 mg/m2 and cisplatin 60 mg/m2. RESULTS: Fifty-two patients received berzosertib + gemcitabine and eight received berzosertib + gemcitabine + cisplatin. Four patients receiving berzosertib + gemcitabine had a total of seven dose-limiting toxicities (DLTs) and three receiving berzosertib + gemcitabine + cisplatin had a total of three DLTs. Berzosertib 210 mg/m2 (days 2 and 9) + gemcitabine 1000 mg/m2 (days 1 and 8) Q3W was established as the recommended Phase 2 dose (RP2D); no RP2D was determined for berzosertib + gemcitabine + cisplatin. Neither gemcitabine nor cisplatin affected berzosertib PK. Most patients in both arms achieved a best response of either partial response or stable disease. CONCLUSIONS: Berzosertib + gemcitabine was well tolerated in patients with advanced solid tumours and showed preliminary efficacy signs. CLINICAL TRIAL IDENTIFIER: NCT02157792.
34301752	Ceralasertib (AZD6738), an Oral ATR Kinase Inhibitor, in Combination with Carboplatin in Patients with Advanced Solid Tumors: A Phase I Study.	PURPOSE: This study reports the safety, tolerability, MTD, recommended phase II dose (RP2D), pharmacokinetic/pharmacodynamic profile, and preliminary antitumor activity of ceralasertib combined with carboplatin in patients with advanced solid tumors. It also examined exploratory predictive and pharmacodynamic biomarkers. PATIENTS AND METHODS: Eligible patients (n = 36) received a fixed dose of carboplatin (AUC5) with escalating doses of ceralasertib (20 mg twice daily to 60 mg once daily) in 21-day cycles. Sequential and concurrent combination dosing schedules were assessed. RESULTS: Two ceralasertib MTD dose schedules, 20 mg twice daily on days 4-13 and 40 mg once daily on days 1-2, were tolerated with carboplatin AUC5; the latter was declared the RP2D. The most common treatment-emergent adverse events (Common Terminology Criteria for Adverse Events grade >=3) were anemia (39%), thrombocytopenia (36%), and neutropenia (25%). Dose-limiting toxicities of grade 4 thrombocytopenia (n = 2; including one grade 4 platelet count decreased) and a combination of grade 4 thrombocytopenia and grade 3 neutropenia occurred in 3 patients. Ceralasertib was quickly absorbed (tmax ~1 hour), with a terminal plasma half-life of 8-11 hours. Upregulation of pRAD50, indicative of ataxia telangiectasia mutated (ATM) activation, was observed in tumor biopsies during ceralasertib treatment. Two patients with absent or low ATM or SLFN11 protein expression achieved confirmed RECIST v1.1 partial responses. Eighteen of 34 (53%) response-evaluable patients had RECIST v1.1 stable disease. CONCLUSIONS: The RP2D for ceralasertib plus carboplatin was established as ceralasertib 40 mg once daily on days 1-2 administered with carboplatin AUC5 every 3 weeks, with pharmacokinetic and pharmacodynamic studies confirming pharmacodynamic modulation and preliminary evidence of antitumor activity observed.
35720367	Case Report: Rubella Virus-Induced Cutaneous Granulomas in Two Pediatric Patients With DNA Double Strand Breakage Repair Disorders - Outcome After Hematopoietic Stem Cell Transplantation.	We report two patients with DNA repair disorders (Artemis deficiency, Ataxia telangiectasia) with destructive skin granulomas, presumably triggered by live-attenuated rubella vaccinations. Both patients showed reduced naive T cells. Rapid resolution of skin lesions was observed following hematopoietic stem cell transplantation. However, the patient with AT died due to complications of severe hepatic veno-occlusive disease 6 month after HSCT. Dried blood spots obtained after birth were available from this patient and showed absent T-cell receptor excision circles (TRECs). Therefore, newborn screening may help to prevent patients with moderate T-cell deficiency from receiving live-attenuated rubella vaccine potentially causing granulomas.
34040174	Phase 1 study of the ATR inhibitor berzosertib in combination with cisplatin in patients with advanced solid tumours.	BACKGROUND: Berzosertib (formerly M6620, VX-970) is a highly potent and selective, first-in-class ataxia telangiectasia-mutated and Rad3-related protein kinase (ATR) inhibitor. We assessed the safety, tolerability, pharmacokinetics, and preliminary efficacy of berzosertib plus cisplatin. METHODS: Adult patients with advanced solid tumours refractory or resistant to standard of care therapies received ascending doses of cisplatin (day 1) and berzosertib (days 2 and 9) every 3 weeks (Q3W). RESULTS: Thirty-one patients received berzosertib (90-210 mg/m2) and cisplatin (40-75 mg/m2) across seven dose levels. The most common grade >=3 treatment-emergent adverse events were neutropenia (20.0%) and anaemia (16.7%). There were two dose-limiting toxicities: a grade 3 hypersensitivity reaction and a grade 3 increase in alanine aminotransferase. Berzosertib 140 mg/m2 (days 2 and 9) and cisplatin 75 mg/m2 (day 1) Q3W was determined as the recommended Phase 2 dose. Cisplatin had no apparent effect on berzosertib pharmacokinetics. Of the 31 patients, four achieved a partial response (two confirmed and two unconfirmed) despite having previously experienced disease progression following platinum-based chemotherapy. CONCLUSIONS: Berzosertib plus cisplatin is well tolerated and shows preliminary clinical activity in patients with advanced solid tumours, warranting further evaluation in a Phase 2 setting. CLINICAL TRIALS IDENTIFIER: NCT02157792.
33121919	Pathologic Complete Response in Patient With ATM Mutation After Neoadjuvant FOLFOXIRI Plus Panitumumab Therapy for Locally Advanced Colon Cancer: A Case Report.	
37438524	A framework for individualized splice-switching oligonucleotide therapy.	Splice-switching antisense oligonucleotides (ASOs) could be used to treat a subset of individuals with genetic diseases1, but the systematic identification of such individuals remains a challenge. Here we performed whole-genome sequencing analyses to characterize genetic variation in 235 individuals (from 209 families) with ataxia-telangiectasia, a severely debilitating and life-threatening recessive genetic disorder2,3, yielding a complete molecular diagnosis in almost all individuals. We developed a predictive taxonomy to assess the amenability of each individual to splice-switching ASO intervention; 9% and 6% of the individuals had variants that were 'probably' or 'possibly' amenable to ASO splice modulation, respectively. Most amenable variants were in deep intronic regions that are inaccessible to exon-targeted sequencing. We developed ASOs that successfully rescued mis-splicing and ATM cellular signalling in patient fibroblasts for two recurrent variants. In a pilot clinical study, one of these ASOs was used to treat a child who had been diagnosed with ataxia-telangiectasia soon after birth, and showed good tolerability without serious adverse events for three years. Our study provides a framework for the prospective identification of individuals with genetic diseases who might benefit from a therapeutic approach involving splice-switching ASOs.
