Citation	Subject	Subject Label	Non grounded Subject	Potential MAXO	Predicate	Object	Object Label	Non grounded Object	Potential HP	Qualifier	Qualifier Label	Non grounded Qualifier	Potential MONDO	Subject Qualifier	Subject Extension	Object Extension	Count
17300989	maxo:0001001	gene therapy		[]	treats	hp:0004430	severe combined immunodeficiency		[]	mondo:0007064	adenosine deaminase deficiency		[]		gene therapy		3
27267267	maxo:0001001	gene therapy		[]	treats	hp:0004430	severe combined immunodeficiency		[]	mondo:0007064	adenosine deaminase deficiency		[]		gene therapy		3
11060694	maxo:0001001	gene therapy		[]	treats	hp:0004430	severe combined immunodeficiency		[]	mondo:0007064	adenosine deaminase deficiency		[]		gene therapy		3
21531016	maxo:0001001	gene therapy		[]	treats			adenosine deaminase deficiency	[]				[]				2
10774451	maxo:0001001	gene therapy		[]	treats			adenosine deaminase deficiency	[]				[]				2
10587981	maxo:0001001	gene therapy		[]	treats	hp:0002664	cancer		[]	mondo:0004992	cancer		[]				2
9806008	maxo:0001001	gene therapy		[]	treats	hp:0002664	cancer		[]	mondo:0004992	cancer		[]				2
17721875	maxo:0001001	gene therapy		[]	treats			adenosine deaminase deficiency	[]	mondo:0007064	adenosine deaminase deficiency		[]				2
9806008	maxo:0001001	gene therapy		[]	treats			adenosine deaminase deficiency	[]	mondo:0007064	adenosine deaminase deficiency		[]				2
11434885	maxo:0001001	gene therapy		[]	treats			primary immunodeficiencies	[]				[]				2
12901330	maxo:0001001	gene therapy		[]	treats			primary immunodeficiencies	[]				[]				2
22447032			treatment with high-dose intravenous corticosteroids	[]	treats			inflammatory lesions in the brain and spinal cord	[]	mondo:0019383	acute disseminated encephalomyelitis		[]	high-dose intravenous	chebi:50858		2
18691744			generation of induced pluripotent stem (ips) cells	[]	treats			adenosine deaminase deficiency-related severe combined immunodeficiency (ada-scid)	[('HP:0002721', 'Immunodeficiency'), ('HP:0004430', 'Severe combined immunodeficiency')]				[]				1
18691744			generation of induced pluripotent stem (ips) cells	[]	treats			shwachman-bodian-diamond syndrome (sbds)	[('HP:0500001', 'BO')]				[]		chebi:17660		1
18691744			generation of induced pluripotent stem (ips) cells	[]	treats			gaucher disease (gd) type iii	[]				[]		chebi:17660		1
